taxon_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix,Agkistrodon,,contortrix,,Linnaeus,1766,,Copperhead
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix contortrix,Agkistrodon,,contortrix,contortrix,Linnaeus,1766,,Southern Copperhead
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix laticinctus,Agkistrodon,,contortrix,laticinctus,Gloyd and Conant,1934,,Broad-banded Copperhead
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix mokasen,Agkistrodon,,contortrix,mokasen,Palisot de Beauvois,1799,,Northern Copperhead
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix phaeogaster,Agkistrodon,,contortrix,phaeogaster,Gloyd,1969,,Osage Copperhead
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon contortrix pictigaster,Agkistrodon,,contortrix,pictigaster,Gloyd and Conant,1943,,Trans-Pecos Copperhead
herps,,Agkistrodon contortrix unknown,Agkistrodon,,contortrix,unknown,,,,
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon piscivorus,Agkistrodon,,piscivorus,,Lacepide,1789,,Cottonmouth
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon piscivorus conanti,Agkistrodon,,piscivorus,conanti,Gloyd,1969,,Florida Cottonmouth
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon piscivorus leucostoma,Agkistrodon,,piscivorus,leucostoma,Troost,1836,,Western Cottonmouth
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Agkistrodon piscivorus piscivorus,Agkistrodon,,piscivorus,piscivorus,Lacepide,1789,,Eastern Cottonmouth
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Alligator mississipiensis,Alligator,,mississipiensis,,Daudin,1801,,American Alligator
herps,,Alligator mississippiensis,Alligator,,mississippiensis,,,,,American Alligator
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma annulatum,Ambystoma,,annulatum,,Cope,1886,,Ringed Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma barbouri,Ambystoma,,barbouri,,Kraus and Petranka,1989,,Streamside Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma bishopi,Ambystoma,,bishopi,,Goin,1950,,Reticulated Flatwoods Salamander
herps,http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/,Ambystoma californiense,Ambystoma,,californiense,,Gray,1853,,California Tiger Salamander
