site,genus,sp,subsp,common_name,source
OSBY,Aphodius,platypleurus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Aphodius,ruricola,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Aphodius,stupidus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Ataenius,cylindrus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Ataenius,fattigi,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Ataenius,insculptus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Ataenius,ovatulus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Ataenius,saramari,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Ataenius,sciurus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Ateuchus,lecontei,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Copris,minutus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Deltochilum,gibbosum,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Glaphyrocanthon,viridis,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Onthophagus,subaeneus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Peltotrupes,youngi,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Phanaeus,igneus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Phyllophaga,skelleyi,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Polyphylla,gracilis,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Strategus,antaeus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Nicrophorus,carolinus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Gondwanocrypticus,obsoletus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
OSBY,Poecilocrypticus,formicophilus,,,http://www.mendeley.com/c/4959343762/g/2058663/annotated-grasshopper-amp-locust-species-list-of-the-ordway-swisher-biological-station/
