taxonID,kingdom,phylum,class,order,family,genus,specificEpithet,infraspecificEpithet,scientificName,taxonRank,neonStatus,nameAccordingToID
MUFR,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,frenata,,Mustela frenata,species,non-target,Wilson&Reeder2005
MUNI,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,nivalis,,Mustela nivalis,species,non-target,Wilson&Reeder2005
MUSP,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,sp.,,Mustela sp.,genus,non-target,Wilson&Reeder2005
MYGA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,gapperi,,Myodes gapperi,species,target,Wilson&Reeder2005
MYRU,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,rutilus,,Myodes rutilus,species,target,Wilson&Reeder2005
MYSP,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Myodes,sp.,,Myodes sp.,genus,target,Wilson&Reeder2005
NAIN,Animalia,Chordata,Mammalia,Rodentia,Dipodidae,Napaeozapus,insignis,,Napaeozapus insignis,species,opportunistic,Wilson&Reeder2005
NEAN,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neofiber,alleni,,Neofiber alleni,species,target,Wilson&Reeder2005
NEAL,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,albigula,,Neotoma albigula,species,target,Wilson&Reeder2005
NECI,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,cinerea,,Neotoma cinerea,species,target,Wilson&Reeder2005
NEFL,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,floridana,,Neotoma floridana,species,target,Wilson&Reeder2005
NEFU,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,fuscipes,,Neotoma fuscipes,species,target,Wilson&Reeder2005
NELE,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,lepida,,Neotoma lepida,species,target,Wilson&Reeder2005
NEMA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,magister,,Neotoma magister,species,target,Wilson&Reeder2005
NEME,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,mexicana,,Neotoma mexicana,species,target,Wilson&Reeder2005
NEMI,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,micropus,,Neotoma micropus,species,target,Wilson&Reeder2005
NESP,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Neotoma,sp.,,Neotoma sp.,genus,target,Wilson&Reeder2005
NEGI,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Neurotrichus,gibbsii,,Neurotrichus gibbsii,species,non-target,Wilson&Reeder2005
NOCR,Animalia,Chordata,Mammalia,Soricomorpha,Soricidae,Notiosorex,crawfordi,,Notiosorex crawfordi,species,opportunistic,Wilson&Reeder2005
OCNU,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ochrotomys,nuttalli,,Ochrotomys nuttalli,species,target,Wilson&Reeder2005
ONZI,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Ondatra,zibethicus,,Ondatra zibethicus,species,target,Wilson&Reeder2005
ONAR,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,arenicola,,Onychomys arenicola,species,target,Wilson&Reeder2005
ONLE,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,leucogaster,,Onychomys leucogaster,species,target,Wilson&Reeder2005
ONTO,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,torridus,,Onychomys torridus,species,target,Wilson&Reeder2005
ONSP,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Onychomys,sp.,,Onychomys sp.,genus,target,Wilson&Reeder2005
ORPA,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Oryzomys,palustris,,Oryzomys palustris,species,target,Wilson&Reeder2005
PABR,Animalia,Chordata,Mammalia,Soricomorpha,Talpidae,Parascalops,breweri,,Parascalops breweri,species,non-target,Wilson&Reeder2005
PEAM,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,amplus,,Perognathus amplus,species,opportunistic,Wilson&Reeder2005
PEFA,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,fasciatus,,Perognathus fasciatus,species,opportunistic,Wilson&Reeder2005
PEFV,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,flavescens,,Perognathus flavescens,species,opportunistic,Wilson&Reeder2005
PEFL,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,flavus,,Perognathus flavus,species,opportunistic,Wilson&Reeder2005
PEPA,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,parvus,,Perognathus parvus,species,opportunistic,Wilson&Reeder2005
PGSP,Animalia,Chordata,Mammalia,Rodentia,Heteromyidae,Perognathus,sp.,,Perognathus sp.,genus,target,Wilson&Reeder2005
