Domain_Presence,sp_id,NEON_Species,Source_Species,Range_Source,Very_Limited_Range
D2,micpus,Microlestes pusio,,Bousquet 2012,
D2,miofla,Mioptachys flavicauda,,Bousquet 2012,
D2,mormon,Morion monilicornis,,Bousquet 2012,
D2,myacor,Myas coracinus,,Bousquet 2012,
D2,myacya,Myas cyanescens,,Bousquet 2012,
D2,neblac2,Nebria lacustris,,Bousquet 2012,
D2,nebpal,Nebria pallipes,,Bousquet 2012,
D2,nemele,Nemotarsus elegans,,Bousquet 2012,
D2,nompyg,Nomius pygmaeus,,Bousquet 2012,
D2,notaen,Notiophilus aeneus,,Bousquet 2012,
D2,notaqu,Notiophilus aquaticus,,Bousquet 2012,
D2,notmac,Notiobia maculicornis,,Bousquet 2012,
D2,notnit1,Notiobia nitidipennis,,Bousquet 2012,
D2,notnov,Notiophilus novemstriatus,,Bousquet 2012,
D2,notsay,Notiobia sayi,,Bousquet 2012,
D2,notsem2,Notiophilus semistriatus,,Bousquet 2012,
D2,notter,Notiobia terminata,,Bousquet 2012,
D2,olifil,Olisthopus filicornis,,Bousquet 2012,
D2,olimic,Olisthopus micans,,Bousquet 2012,
D2,olipar,Olisthopus parmatus,,Bousquet 2012,
D2,omoame,Omophron americanum,,Bousquet 2012,
D2,omolab,Omophron labiatum,,Bousquet 2012,
D2,omotes,Omophron tessellatum,,Bousquet 2012,
D2,oodama,Oodes amaroides,,Bousquet 2012,
D2,oodame,Oodes americanus,,Bousquet 2012,
D2,oodbre,Oodes brevis,,Bousquet 2012,
D2,oodflu,Oodes fluvialis,,Bousquet 2012,
D2,ophpun,Ophonus puncticeps,,Bousquet 2012,
D2,oxypus,Oxypselaphus pusillus,,Bousquet 2012,
D2,pancru,Panagaeus cruciger,,Bousquet 2012,
D2,panfas,Panagaeus fasciatus,,Bousquet 2012,
D2,parbip,Paraclivina bipustulata,,Bousquet 2012,
D2,parcon,Paraclivina convexa,,Bousquet 2012,
D2,parfer,Paraclivina ferrea,,Bousquet 2012,
D2,parpos,Paraclivina postica,,Bousquet 2012,
D2,parstr,Paraclivina striatopunctata,,Bousquet 2012,
D2,parsul,Paraclivina sulcipennis,,Bousquet 2012,
D2,pasdep,Pasimachus depressus,,Bousquet 2012,
D2,pasmar,Pasimachus marginatus,,Bousquet 2012,
D2,paspun,Pasimachus punctulatus,,Bousquet 2012,
D2,passub1,Pasimachus sublaevis,,Bousquet 2012,
D2,patlon,Patrobus longicornis,,Bousquet 2012,
D2,penfla2,Pentagonica flavipes flavipes,,Bousquet 2012,
D2,penpic,Pentagonica picticornis,,Bousquet 2012,
D2,pereph,Pericompsus ephippiatus,,Bousquet 2012,
D2,pernig,Perigona nigriceps,,Bousquet 2012,
D2,perpal,Perigona pallipennis,,Bousquet 2012,
D2,phialt,Philodes alternans,,Bousquet 2012,
D2,phiatr,Philorhizus atriceps,,Bousquet 2012,
D2,phifla,Philodes flavilimbus,,Bousquet 2012,
D2,philon,Philodes longulus,,Bousquet 2012,
D2,phirec,Philodes rectangulus,,Bousquet 2012,
D2,phlsig,Phloeoxena signata,,Bousquet 2012,
D2,piesub,Piesmus submarginatus,,Bousquet 2012,
D2,plaang,Platynus angustatus,,Bousquet 2012,
D2,placin,Platynus cincticollis,,Bousquet 2012,
D2,pladav,Platynus daviesi,,Bousquet 2012,
D2,pladec,Platynus decentis,,Bousquet 2012,
D2,plahyp,Platynus hypolithos,,Bousquet 2012,
D2,plaind,Platynus indecentis,,Bousquet 2012,
D2,plaman,Platynus mannerheimii,,Bousquet 2012,
D2,plaopa,Platynus opaculus,,Bousquet 2012,
D2,plapar,Platynus parmarginatus,,Bousquet 2012,
D2,platen,Platynus tenuicollis,,Bousquet 2012,
D2,plodis,Plochionus discoideus,,Bousquet 2012,
D2,plopal,Plochionus pallens,,Bousquet 2012,
D2,plotim,Plochionus timidus,,Bousquet 2012,
D2,poecha,Poecilus chalcites,,Bousquet 2012,
D2,poeluc,Poecilus lucublandus,,Bousquet 2012,
D2,pollae,Polyderis laeva,,Bousquet 2012,
D2,porbis,Porotachys bisulcatus,,Bousquet 2012,
D2,pseare,Pseudamara arenaria,,Bousquet 2012,
D2,psedor,Pseudaptinus dorsalis,,Bousquet 2012,
D2,pseexc,Pseudomorpha excrucians,,Bousquet 2012,
D2,psehub1,Pseudanophthalmus hubbardi,,Bousquet 2012,TRUE
D2,pselec,Pseudaptinus lecontei,,Bousquet 2012,
D2,psemon,Pseudanophthalmus montanus,,Bousquet 2012,TRUE
D2,psepar2,Pseudanophthalmus parvicollis,,Bousquet 2012,TRUE
D2,psepet,Pseudanophthalmus petrunkevitchi,,Bousquet 2012,TRUE
D2,psepon,Pseudanophthalmus pontis,,Bousquet 2012,TRUE
D2,psepot,Pseudanophthalmus potomaca,,Bousquet 2012,TRUE
D2,psepyg,Pseudaptinus pygmaeus,,Bousquet 2012,
D2,psesen,Pseudanophthalmus senecae,,Bousquet 2012,TRUE
D2,pte[nn,Pterostichus [NN1],Pterostichus ingens,Bousquet 2012,
D2,pteado,Pterostichus adoxus,,Bousquet 2012,
D2,pteads,Pterostichus adstrictus,,Bousquet 2012,
D2,pteatr,Pterostichus atratus,,Bousquet 2012,
D2,ptecau,Pterostichus caudicalis,,Bousquet 2012,
D2,ptecom,Pterostichus commutabilis,,Bousquet 2012,
D2,ptecor1,Pterostichus coracinus,,Bousquet 2012,
D2,ptecor3,Pterostichus corvinus,,Bousquet 2012,
D2,ptedil,Pterostichus diligendus,,Bousquet 2012,
D2,pteebe,Pterostichus ebeninus,,Bousquet 2012,
D2,ptefal1,Pterostichus fallax,,Bousquet 2012,
D2,ptefem,Pterostichus femoralis,,Bousquet 2012,
D2,pteham,Pterostichus hamiltoni,,Bousquet 2012,
D2,ptelac2,Pterostichus lachrymosus,,Bousquet 2012,
D2,pteluc,Pterostichus luctuosus,,Bousquet 2012,
D2,ptemel,Pterostichus melanarius melanarius,,Bousquet 2012,
D2,ptemoe,Pterostichus moestus,,Bousquet 2012,
D2,ptemut1,Pterostichus mutoides,,Bousquet 2012,TRUE
D2,ptemut2,Pterostichus mutus,,Bousquet 2012,
D2,ptenov,Pterostichus novus,,Bousquet 2012,
D2,pteobe,Pterostichus obesulus,,Bousquet 2012,
D2,ptepat,Pterostichus patruelis,,Bousquet 2012,
D2,ptepen,Pterostichus pensylvanicus,,Bousquet 2012,
D2,pteper2,Pterostichus permundus,,Bousquet 2012,
D2,ptepra,Pterostichus praetermissus,,Bousquet 2012,
D2,ptepun2,Pterostichus punctiventris,,Bousquet 2012,
D2,pterel,Pterostichus relictus,,Bousquet 2012,
D2,pteros,Pterostichus rostratus,,Bousquet 2012,
D2,ptesay,Pterostichus sayanus,,Bousquet 2012,
D2,ptescu1,Pterostichus sculptus,,Bousquet 2012,
D2,ptesty,Pterostichus stygicus,,Bousquet 2012,
D2,ptesup,Pterostichus superciliosus,,Bousquet 2012,
D2,pteten,Pterostichus tenuis,,Bousquet 2012,
D2,ptetri1,Pterostichus trinarius,,Bousquet 2012,
D2,ptetri3,Pterostichus tristis,,Bousquet 2012,
D2,rhacau,Rhadine caudata,,Bousquet 2012,
D2,scaand1,Scaphinotus andrewsii amplicollis,,Bousquet 2012,
D2,scaand3,Scaphinotus andrewsii andrewsii,,Bousquet 2012,
D2,scaand4,Scaphinotus andrewsii darlingtoni,,Bousquet 2012,
D2,scaand6,Scaphinotus andrewsii mutabilis,,Bousquet 2012,
D2,scaand7,Scaphinotus andrewsii parvitarsalis,,Bousquet 2012,
D2,scabil,Scaphinotus bilobus,,Bousquet 2012,
D2,scadeb2,Scaphinotus debilis debilis,,Bousquet 2012,
D2,scaele2,Scaphinotus elevatus elevatus,,Bousquet 2012,
D2,scaele4,Scaphinotus elevatus lengi,,Bousquet 2012,TRUE
D2,scaele6,Scaphinotus elevatus tenebricosus,,Bousquet 2012,
D2,scaguy,Scaphinotus guyotii,,Bousquet 2012,
D2,scaimp,Scaphinotus imperfectus,,Bousquet 2012,
D2,scairr,Scaphinotus irregularis,,Bousquet 2012,
D2,scaqua,Scarites quadriceps,,Bousquet 2012,
D2,scarid1,Scaphinotus ridingsii monongahelae,,Bousquet 2012,
D2,scarid2,Scaphinotus ridingsii ridingsii,,Bousquet 2012,
D2,scasch,Scaphinotus schwarzi,,Bousquet 2012,
D2,scasub2,Scarites subterraneus,,Bousquet 2012,
D2,scatri,Scaphinotus tricarinatus,,Bousquet 2012,
D2,scauni1,Scaphinotus unicolor,,Bousquet 2012,
D2,scauni2,Scaphinotus unistriatus,,Bousquet 2012,
D2,scavid,Scaphinotus viduus,,Bousquet 2012,
D2,scavio,Scaphinotus violaceus,,Bousquet 2012,
D2,scaweb,Scaphinotus webbi,,Bousquet 2012,
D2,schamp,Schizogenius amphibius,,Bousquet 2012,
D2,schfer,Schizogenius ferrugineus,,Bousquet 2012,
D2,schlin2,Schizogenius lineolatus,,Bousquet 2012,
D2,schpla1,Schizogenius planulatus,,Bousquet 2012,
D2,schsul,Schizogenius sulcifrons,,Bousquet 2012,
D2,selbla,Selenophorus blanchardi,,Bousquet 2012,
D2,selcon2,Selenophorus contractus,,Bousquet 2012,
D2,selell,Selenophorus ellipticus,,Bousquet 2012,
D2,selelo,Selenophorus elongatus,,Bousquet 2012,
D2,selfat,Selenophorus fatuus,,Bousquet 2012,
D2,selfos,Selenophorus fossulatus,,Bousquet 2012,
D2,selgag,Selenophorus gagatinus,,Bousquet 2012,
D2,selgra,Selenophorus granarius,,Bousquet 2012,
D2,selhyl,Selenophorus hylacis,,Bousquet 2012,
D2,selmun,Selenophorus municeps,,Bousquet 2012,TRUE
D2,selnan,Selenophorus nanulus,,Bousquet 2012,TRUE
D2,selopa,Selenophorus opalinus,,Bousquet 2012,
D2,selpal,Selenophorus palliatus,,Bousquet 2012,
D2,selped,Selenophorus pedicularius,,Bousquet 2012,
D2,sempun,Semiardistomis puncticollis,,Bousquet 2012,
D2,semvir,Semiardistomis viridis,,Bousquet 2012,
D2,serdun,Serranillus dunavani,,Bousquet 2012,TRUE
D2,serobs,Sericoda obsoleta,,Bousquet 2012,
D2,serqua,Sericoda quadripunctata,,Bousquet 2012,
D2,somuni,Somotrichus unifasciatus,,Bousquet 2012,
D2,sphbic,Sphaeroderus bicarinatus,,Bousquet 2012,
D2,sphcan1,Sphaeroderus canadensis canadensis,,Bousquet 2012,
D2,sphcan2,Sphaeroderus canadensis lengi,,Bousquet 2012,
D2,sphind,Sphaeroderus indianae,,Bousquet 2012,
D2,sphsch,Sphaeroderus schaumii,,Bousquet 2012,
D2,sphste1,Sphaeroderus stenostomus lecontei,,Bousquet 2012,
D2,sphste2,Sphaeroderus stenostomus stenostomus,,Bousquet 2012,
D2,stecar,Stenolophus carbo,,Bousquet 2012,
D2,stecom,Stenolophus comma,,Bousquet 2012,
D2,stecup,Stenocrepis cuprea,,Bousquet 2012,
D2,stedis,Stenolophus dissimilis,,Bousquet 2012,
D2,steduo,Stenocrepis duodecimstriata,,Bousquet 2012,
D2,steful,Stenolophus fuliginosus,,Bousquet 2012,
D2,stefus,Stenolophus fuscatus,,Bousquet 2012,
D2,stehum,Stenolophus humidus,,Bousquet 2012,
D2,steinf,Stenolophus infuscatus,,Bousquet 2012,
D2,stelec,Stenolophus lecontei,,Bousquet 2012,
D2,stelin,Stenolophus lineola,,Bousquet 2012,
D2,stemex,Stenocrepis mexicana,,Bousquet 2012,
D2,steoch,Stenolophus ochropezus,,Bousquet 2012,
D2,steple,Stenolophus plebejus,,Bousquet 2012,
D2,stespr,Stenolophus spretus,,Bousquet 2012,
D2,syname,Syntomus americanus,,Bousquet 2012,
D2,synimp,Synuchus impunctatus,,Bousquet 2012,
D2,tacalb,Tachys albipes,,Bousquet 2012,
D2,tacang,Tachyta angulata,,Bousquet 2012,
D2,tacaus,Tachys austinicus,,Bousquet 2012,
D2,taccol,Tachys columbiensis,,Bousquet 2012,
D2,tacino,Tachyta inornata,,Bousquet 2012,
D2,taclit,Tachys litoralis,,Bousquet 2012,
D2,tacobl,Tachys oblitus,,Bousquet 2012,
D2,tacpal,Tachys pallidus,,Bousquet 2012,
D2,tacpar,Tachyta parvicornis,,Bousquet 2012,
D2,tacpot,Tachys potomaca,,Bousquet 2012,
D2,tacpro,Tachys proximus,,Bousquet 2012,
D2,tacpul,Tachys pulchellus,,Bousquet 2012,
D2,tacpum,Tachys pumilus,,Bousquet 2012,
D2,tacrho,Tachys rhodeanus,,Bousquet 2012,
D2,tacsag,Tachys sagax,,Bousquet 2012,
D2,tacsci,Tachys scitulus,,Bousquet 2012,
D2,tetcar1,Tetracha carolina carolina,,Bousquet 2012,
D2,tetfas,Tetragonoderus fasciatus,,Bousquet 2012,
D2,tetint,Tetragonoderus intersectus,,Bousquet 2012,
D2,tetpic,Tetraleucus picticornis,,Bousquet 2012,
D2,tetvir,Tetracha virginica,,Bousquet 2012,
D2,treapi,Trechus apicalis,,Bousquet 2012,
D2,trebar,Trechus barberi,,Bousquet 2012,
D2,trehyd4,Trechus hydropicus hydropicus,,Bousquet 2012,
D2,tremit,Trechus mitchellensis,,Bousquet 2012,
D2,trequa,Trechus quadristriatus,,Bousquet 2012,
D2,tresch3,Trechus schwarzi scopulosus,,Bousquet 2012,
D2,triaut,Trichotichnus autumnalis,,Bousquet 2012,
D2,tridic,Trichotichnus dichrous,,Bousquet 2012,
D2,triful,Trichotichnus fulgens,,Bousquet 2012,
D2,trivul,Trichotichnus vulpeculus,,Bousquet 2012,
D2,xeslug,Xestonotus lugubris,,Bousquet 2012,
D2,zupame,Zuphium americanum,,Bousquet 2012,
D20,agomue,Agonum muelleri,,Liebherr et al. 2009,
D20,anaopa,Anaulacus opaculus,Aephnidius opaculus,Zimmerman 1972,
D20,anthex,Anthia hexasticta ,,Davis and Butler 1964,
D20,balhak,Blackburnia hakeakapa,,Liebherr and Zimmerman 2000,
D20,bemadm,Bembidion admirandum,,Liebherr 2008,
D20,bemadv,Bembidion advena,,Liebherr 2008,
D20,bemate,Bembidion ateradustum,,Liebherr 2008,
D20,bemato,Bembidion atomarium,,Liebherr 2008,
D20,bemaur,Bembidion auratum,,Liebherr 2008,
D20,bemcoe,Bembidion coecum,,Liebherr 2008,
D20,bemcor2,Bembidion corticarium,,Liebherr 2008,
D20,bemful,Bembidion fulgens,,Liebherr 2008,
D20,bemgag,Bembidion gagneorum,,Liebherr 2008,
D20,bemhal,Bembidion halaeakalae,,Liebherr 2008,
D20,bemign,Bembidion ignicola,,Liebherr 2008,
D20,bemkam,Bembidion kamakou,,Liebherr 2008,
D20,bemkau,Bembidion kauiense,,Liebherr 2008,
D20,bemkoe,Bembidion koebelei,,Liebherr 2008,
D20,bemmun2,Bembidion munroi,,Liebherr 2008,
D20,bemnil,Bembidion niloticum,,Liebherr 2008,
D20,bempac,Bembidion pacificum,,Liebherr 2008,
D20,bempar2,Bembidion paratomarium,,Liebherr 2008,
D20,bemper2,Bembidion perkinsi,,Liebherr 2008,
D20,bemrud,Bembidion rude,,Liebherr 2008,
D20,bemsma,Bembidion smaragdinum,,Liebherr 2008,
D20,bemspu,Bembidion spurcum,,Liebherr 2008,
D20,bemter,Bembidion teres,,Liebherr 2008,
D20,bemwai,Bembidion waialeale,,Liebherr 2008,
D20,blaaaa,Blackburnia aaae,,Liebherr and Zimmerman 2000,
D20,blaaba1,Blackburnia abax,,Liebherr and Zimmerman 2000,
D20,blaaba2,Blackburnia abaxoides,,Liebherr and Zimmerman 2000,
D20,blaagi,Blackburnia agilis,,Liebherr and Zimmerman 2000,
D20,blaago,Blackburnia agonoides,,Liebherr and Zimmerman 2000,
D20,blaalt,Blackburnia alternans,,Liebherr and Zimmerman 2000,
D20,blaamb,Blackburnia ambiens,,Liebherr and Zimmerman 2000,
D20,blaano,Blackburnia anomala,,Liebherr and Zimmerman 2000,
D20,blaasq,Blackburnia asquithi,,Liebherr and Zimmerman 2000,
D20,blaate,Blackburnia aterrima,,Liebherr and Zimmerman 2000,
D20,blaatr,Blackburnia atra,,Liebherr and Zimmerman 2000,
D20,blaaua,Blackburnia auana,,Liebherr and Zimmerman 2000,
D20,blaaud,Blackburnia audax,,Liebherr and Zimmerman 2000,
D20,blabar1,Blackburnia bartletti,,Liebherr and Zimmerman 2000,
D20,blabar2,Blackburnia barda,,Liebherr and Zimmerman 2000,
D20,blabla,Blackburnia blaptoides,,Liebherr and Zimmerman 2000,
D20,blabre,Blackburnia brevipes,,Liebherr and Zimmerman 2000,
D20,blabry,Blackburnia bryophila,,Liebherr and Zimmerman 2000,
D20,blacal1,Blackburnia calathiformis,,Liebherr 2006,
D20,blacal2,Blackburnia calathoides,,Liebherr and Zimmerman 2000,
D20,blacal3,Blackburnia caliginosa,,Liebherr and Zimmerman 2000,
D20,blacep,Blackburnia cephalotes,,Liebherr and Zimmerman 2000,
D20,blache,Blackburnia cheloniceps,,Liebherr and Zimmerman 2000,
D20,blacon1,Blackburnia concolor,,Liebherr and Zimmerman 2000,
D20,blacon2,Blackburnia constricta,,Liebherr and Zimmerman 2000,
D20,blacor,Blackburnia corrusca,,Liebherr and Zimmerman 2000,
D20,blacos,Blackburnia costata,,Liebherr and Zimmerman 2000,
D20,blacun,Blackburnia cuneipennis,,Liebherr and Zimmerman 2000,
D20,blacur,Blackburnia curtipes,,Liebherr and Zimmerman 2000,
D20,bladeb,Blackburnia debilis,,Liebherr 2006,
D20,bladep,Blackburnia depressa,,Liebherr 2009b,
D20,blader,Blackburnia derodera,,Liebherr and Zimmerman 2000,
D20,bladys,Blackburnia dyscolea,,Liebherr and Zimmerman 2000,
D20,blaele,Blackburnia elegans,,Liebherr 2006b,
D20,blaepi,Blackburnia epicurus,,Liebherr and Zimmerman 2000,
D20,blaerr,Blackburnia erro,,Liebherr and Zimmerman 2000,
D20,blaery,Blackburnia erythropus,,Liebherr and Zimmerman 2000,
D20,blaewi,Blackburnia ewingi,,Liebherr and Zimmerman 2000,
D20,blafil,Blackburnia filipes,,Liebherr 2009b,
D20,blafor,Blackburnia fordi,,Liebherr and Zimmerman 2000,
D20,blafos,Blackburnia fossipennis,,Liebherr and Zimmerman 2000,
D20,blafov,Blackburnia foveolata,,Liebherr and Zimmerman 2000,
D20,blafra1,Blackburnia fracta,,Liebherr and Zimmerman 2000,
D20,blafra2,Blackburnia fractistriata,,Liebherr and Zimmerman 2000,
D20,blafra3,Blackburnia fraterna,,Liebherr and Zimmerman 2000,
D20,blafra4,Blackburnia fraudator,,Liebherr and Zimmerman 2000,
D20,blafri,Blackburnia frigida,,Liebherr and Zimmerman 2000,
D20,blafug,Blackburnia fugitiva,,Liebherr and Zimmerman 2000,
D20,blaful,Blackburnia fulgida,,Liebherr and Zimmerman 2000,
D20,blagas,Blackburnia gastrellariformis,,Liebherr 2001,
D20,blagra,Blackburnia gracilis,,Liebherr and Zimmerman 2000,
D20,blahal,Blackburnia haleakala,,Liebherr and Zimmerman 2000,
D20,blahaw,Blackburnia hawaiiensis,,Liebherr and Zimmerman 2000,
D20,blahih,Blackburnia hihia,,Liebherr and Zimmerman 2000,
D20,blahil,Blackburnia hilaris,,Liebherr and Zimmerman 2000,
D20,blahow,Blackburnia howarthi,,Liebherr 2006,
D20,blahuh,Blackburnia huhula,,Liebherr and Zimmerman 2000,
D20,blainc,Blackburnia incendiaria,,Liebherr and Zimmerman 2000,
D20,blains1,Blackburnia insignis,,Liebherr and Zimmerman 2000,
D20,blains2,Blackburnia insociabilis,,Liebherr and Zimmerman 2000,
D20,blaipu,Blackburnia ipu,,Liebherr and Zimmerman 2000,
D20,blakah,Blackburnia kahili,,Liebherr and Zimmerman 2000,
D20,blakam,Blackburnia kamehameha,,Liebherr and Zimmerman 2000,
D20,blakau1,Blackburnia kauwa,,Liebherr and Zimmerman 2000,
D20,blakau2,Blackburnia kauaiensis,,Liebherr and Zimmerman 2000,
D20,blakav,Blackburnia kavanaughi,,Liebherr 2006,
D20,blakil,Blackburnia kilauea,,Liebherr and Zimmerman 2000,
D20,blakip,Blackburnia kipahulu,,Liebherr and Zimmerman 2000,
D20,blakoe,Blackburnia koebelei,,Liebherr and Zimmerman 2000,
D20,blakom,Blackburnia komohana,,Liebherr and Zimmerman 2000,
D20,blakui,Blackburnia kuiki,,Liebherr and Zimmerman 2000,
D20,blakuk,Blackburnia kukui,,Liebherr and Zimmerman 2000,
D20,blalan1,Blackburnia lanaiensis,,Liebherr 2009b,
D20,blalan2,Blackburnia lanaihalensis,,Liebherr and Zimmerman 2000,
D20,blalat1,Blackburnia lata,,Liebherr 2003,
D20,blalat2,Blackburnia latifrons,,Liebherr and Zimmerman 2000,
D20,blalen,Blackburnia lenta,,Liebherr and Zimmerman 2000,
D20,blalih,Blackburnia lihau,,Liebherr and Zimmerman 2000,
D20,blalim,Blackburnia limbata,,Liebherr and Zimmerman 2000,
D20,blalon1,Blackburnia longipes,,Liebherr and Zimmerman 2000,
D20,blalon2,Blackburnia longula,,Liebherr and Zimmerman 2000,
D20,blaluc,Blackburnia lucipetens,,Liebherr 2009b,
D20,blamac,Blackburnia maculata,,Liebherr and Zimmerman 2000,
D20,blaman,Blackburnia mandibularis,,Liebherr and Zimmerman 2000,
D20,blamed,Blackburnia medeirosi,,Liebherr and Zimmerman 2000,
D20,blamet1,Blackburnia meticulosa,,Liebherr and Zimmerman 2000,
D20,blamet2,Blackburnia metromenoides,,Liebherr and Zimmerman 2000,
D20,blamic1,Blackburnia micantipennis,,Liebherr and Zimmerman 2000,
D20,blamic2,Blackburnia micans,,Liebherr and Zimmerman 2000,
D20,blamic3,Blackburnia microps,,Liebherr and Zimmerman 2000,
D20,blamoe,Blackburnia moerens,,Liebherr and Zimmerman 2000,
D20,blamol,Blackburnia molokaiensis,,Liebherr and Zimmerman 2000,
D20,blamun,Blackburnia munroi,,Liebherr and Zimmerman 2000,
D20,blamus,Blackburnia muscicola,,Liebherr and Zimmerman 2000,
D20,blamut,Blackburnia mutabilis,,Liebherr and Zimmerman 2000,
D20,blamys,Blackburnia mystica,,Liebherr and Zimmerman 2000,
D20,blaoce,Blackburnia oceanica,,Liebherr and Zimmerman 2000,
D20,blaoct,Blackburnia octoocellata,,Liebherr and Zimmerman 2000,
D20,blaopa,Blackburnia opaca,,Liebherr and Zimmerman 2000,
D20,blaopt1,Blackburnia optata,,Liebherr and Zimmerman 2000,
D20,blaopt2,Blackburnia optima,,Liebherr and Zimmerman 2000,
D20,blapal,Blackburnia palmae,,Liebherr and Zimmerman 2000,
D20,blapal1,Blackburnia paloloensis,,Liebherr and Zimmerman 2000,
D20,blapal2,Blackburnia paludicola,,Liebherr and Zimmerman 2000,
D20,blapau,Blackburnia pauma,,Liebherr and Zimmerman 2000,
D20,blapav,Blackburnia pavida,,Liebherr and Zimmerman 2000,
D20,blaper1,Blackburnia perkinsi,,Liebherr and Zimmerman 2000,
D20,blaper2,Blackburnia perpolita,,Liebherr and Zimmerman 2000,
D20,blapil,Blackburnia pilikua,,Liebherr and Zimmerman 2000,
D20,blapla1,Blackburnia platyophthalmica,,Liebherr and Zimmerman 2000,
D20,blapla2,Blackburnia platynoides,,Liebherr and Zimmerman 2000,
D20,blapol1,Blackburnia polhemusi,,Liebherr and Zimmerman 2000,
D20,blapol2,Blackburnia polipoli,,Liebherr and Zimmerman 2000,
D20,blapos,Blackburnia posticata,,Liebherr and Zimmerman 2000,
D20,blapro,Blackburnia proterva,,Liebherr and Zimmerman 2000,
D20,blapuk,Blackburnia pukalaina,,Liebherr and Zimmerman 2000,
D20,blapun,Blackburnia puncticeps,,Liebherr and Zimmerman 2000,
D20,blaput,Blackburnia putealis,,Liebherr and Zimmerman 2000,
D20,blarip,Blackburnia riparia,,Liebherr 2006b,
D20,blarup,Blackburnia rupicola,,Liebherr and Zimmerman 2000,
D20,blasha,Blackburnia sharpi,,Liebherr and Zimmerman 2000,
D20,blasph,Blackburnia sphodriformis,,Liebherr and Zimmerman 2000,
D20,blasul,Blackburnia sulcipennis,,Liebherr and Zimmerman 2000,
D20,blatan,Blackburnia tantalus,,Liebherr and Zimmerman 2000,
D20,blater,Blackburnia terebrata,,Liebherr and Zimmerman 2000,
D20,blatib,Blackburnia tibialis,,Liebherr and Zimmerman 2000,
D20,blatra,Blackburnia transiens,,Liebherr and Zimmerman 2000,
D20,blatri,Blackburnia tricolor,,Liebherr and Zimmerman 2000,
D20,blaula,Blackburnia ulaula,,Liebherr and Zimmerman 2000,
D20,blavag,Blackburnia vagans,,Liebherr and Zimmerman 2000,
D20,blavir,Blackburnia viridis,,Liebherr and Zimmerman 2000,
D20,blawai,Blackburnia waialeale,,Liebherr and Zimmerman 2000,
D20,calbla,Calopachys blaptoides,Calosoma blaptoides tehuacanum,Pemberton 1949,
D20,calper2,Calosoma peregrinator,,Weber 1955,
D20,calruf3,Calathus ruficollis ruficollis,,Liebherr and Zimmerman 2000,
D20,calsem,Calosoma semilaeve,,Swezey 1931,
D20,calsim,Calosoma simplex,,Swezey 1931,
D20,carbla,Carabus blaptoides blaptoides,,Davis 1960; Davis and Krauss 1962,
D20,cratib,Craspedonotus tibialis,,Pemberton 1964,
D20,dryaus,Drypta australis,,Williams 1920,
D20,drymas,Drypta mastersii,,Williams 1920,
D20,elacey,Elaphropus ceylanicus,Tachys ceylanicus,Britton 1948b,
D20,elalut,Elaphropus luteus,Tachys luteus,Beardsley 1977,
D20,endpra,Endynomena pradieri,,Britton 1948b,
D20,gnamul,Gnathaphanus multipunctatus,,Liebherr 2009b,
D20,gnapic,Gnathaphanus picipes ,,Liebherr 2009b,
D20,laecom,Laemostenus complanatus,,Liebherr and Zimmerman 2000,
D20,lymswa,Lymnastis swaluwenbergi,,Britton 1948b,
D20,macbar,Mecyclothorax bartletti,,Liebherr 2011,
D20,mecaba,Mecyclothorax abax,,Liebherr 2007,
D20,mecach,Mecyclothorax acherontius,,Liebherr 2009,
D20,mecaen1,Mecyclothorax aeneipennis,,Liebherr 2005,
D20,mecaen2,Mecyclothorax aeneus,,Britton 1948,
D20,mecall,Mecyclothorax allostriatus,,Liebherr 2011,
D20,mecama,Mecyclothorax amaroides,,Liebherr 2007,
D20,mecang,Mecyclothorax angusticollis,,Britton 1948,
D20,mecann,Mecyclothorax annae,,Liebherr 2007,
D20,mecapi,Mecyclothorax apicalis,,Britton 1948,
D20,mecarc1,Mecyclothorax arcanus,,Liebherr 2011,
D20,mecarc2,Mecyclothorax arcuatus,,Liebherr 2007,
D20,mecarg,Mecyclothorax argutor,,Liebherr 2007,
D20,mecate,Mecyclothorax ater,,Liebherr 2007,
D20,mecbad,Mecyclothorax badius,,Liebherr 2011,
D20,mecbem1,Mecyclothorax bembidicus,,Britton 1948,
D20,mecbem2,Mecyclothorax bembidioides,,Britton 1948,
D20,mecbic,Mecyclothorax bicolor,,Liebherr 2007,
D20,mecbra1,Mecyclothorax bradycellinus,,Liebherr 2007,
D20,mecbra2,Mecyclothorax bradyderus,,Liebherr 2007,
D20,mecbre,Mecyclothorax brevis,,Liebherr 2009,
D20,meccal,Mecyclothorax calceus,,Liebherr 2009,
D20,meccar,Mecyclothorax carteri,,Liebherr 2009,
D20,meccet,Mecyclothorax ceteratus,,Liebherr 2011,
D20,meccha,Mecyclothorax chalocosus,,Liebherr 2011,
D20,meccle,Mecyclothorax clermontiae,,Liebherr 2011,
D20,meccog,Mecyclothorax cognatus,,Britton 1948,
D20,meccom,Mecyclothorax comma,,Liebherr 2007,
D20,meccon1,Mecyclothorax constrictus,,Liebherr 2007,
D20,meccon2,Mecyclothorax consobrinus,,Liebherr 2005,
D20,meccon3,Mecyclothorax convexus,,Liebherr 2007,
D20,meccor1,Mecyclothorax cordithorax,,Liebherr 2005,
D20,meccor2,Mecyclothorax cordaticollis,,Britton 1948,
D20,meccra,Mecyclothorax crassus,,Liebherr 2011,
