Domain_Presence,sp_id,NEON_Species,Source_Species,Range_Source,Very_Limited_Range
D1,beminc,Bembidion incrematum,,Bousquet 2012,
D1,bemint2,Bembidion intermedium,,Bousquet 2012,
D1,bemiri2,Bembidion iridipenne,,Bousquet 2012,
D1,bemlac2,Bembidion lacunarium,,Bousquet 2012,
D1,bemlev1,Bembidion levigatum,,Bousquet 2012,
D1,bemlev3,Bembidion levettei carrianum,,Bousquet 2012,
D1,bemlou,Bembidion louisella,,Bousquet 2012,
D1,bemmim,Bembidion mimus,,Bousquet 2012,
D1,bemmus,Bembidion muscicola,,Bousquet 2012,
D1,bemmut,Bembidion mutatum,,Bousquet 2012,
D1,bemnig1,Bembidion nigrivestis,,Bousquet 2012,
D1,bemnig4,Bembidion nigropiceum,,Bousquet 2012,TRUE
D1,bemnig5,Bembidion nigrum,,Bousquet 2012,
D1,bemnit2,Bembidion nitidum,,Bousquet 2012,
D1,bemobe,Bembidion oberthueri,,Bousquet 2012,
D1,bemobs1,Bembidion obscurellum obscurellum,,Bousquet 2012,
D1,bemobt3,Bembidion obtusum,,Bousquet 2012,
D1,bemocc,Bembidion occultator,,Bousquet 2012,
D1,bempar1,Bembidion paraenulum,,Bousquet 2012,
D1,bempat,Bembidion patruele,,Bousquet 2012,
D1,bemped,Bembidion pedicellatum,,Bousquet 2012,
D1,bempet2,Bembidion petrosum petrosum,,Bousquet 2012,
D1,bempla2,Bembidion plagiatum,,Bousquet 2012,
D1,bempla5,Bembidion planum,,Bousquet 2012,
D1,bempos,Bembidion postremum,,Bousquet 2012,
D1,bempra2,Bembidion praticola,,Bousquet 2012,
D1,bempro,Bembidion properans,,Bousquet 2012,TRUE
D1,bempse1,Bembidion pseudocautum,,Bousquet 2012,
D1,bempun,Bembidion punctatostriatum,,Bousquet 2012,
D1,bemqua1,Bembidion quadratulum,,Bousquet 2012,
D1,bemqua4,Bembidion quadrimaculatum oppositum,,Bousquet 2012,
D1,bemrap,Bembidion rapidum,,Bousquet 2012,
D1,bemrob,Bembidion robusticolle,,Bousquet 2012,
D1,bemrol,Bembidion rolandi,,Bousquet 2012,
D1,bemrot,Bembidion rothfelsi,,Bousquet 2012,
D1,bemruf2,Bembidion rufotinctum,,Bousquet 2012,
D1,bemrup,Bembidion rupicola,,Bousquet 2012,
D1,bemrus2,Bembidion rusticum rusticum,,Bousquet 2012,
D1,bemsal1,Bembidion salebratum,,Bousquet 2012,
D1,bemsco,Bembidion scopulinum,,Bousquet 2012,
D1,bemsem1,Bembidion semicinctum,,Bousquet 2012,
D1,bemsem4,Bembidion semistriatum,,Bousquet 2012,
D1,bemsim,Bembidion simplex,,Bousquet 2012,
D1,bemste,Bembidion stephensii,,Bousquet 2012,
D1,bemtet,Bembidion tetracolum tetracolum,,Bousquet 2012,
D1,bemtra1,Bembidion transparens transparens,,Bousquet 2012,
D1,bemtra2,Bembidion transversale,,Bousquet 2012,
D1,bemvar,Bembidion variegatum,,Bousquet 2012,
D1,bemver1,Bembidion versicolor,,Bousquet 2012,
D1,bemver2,Bembidion versutum,,Bousquet 2012,
D1,bemvir,Bembidion viridicolle,,Bousquet 2012,
D1,bledis,Blemus discus discus,,Bousquet 2012,
D1,blehud,Blethisa hudsonica,,Bousquet 2012,
D1,blejul,Blethisa julii,,Bousquet 2012,
D1,blequa,Blethisa quadricollis,,Bousquet 2012,
D1,braadu,Brachinus adustipennis,,Bousquet 2012,
D1,braalt,Brachinus alternans,,Bousquet 2012,
D1,braame,Brachinus americanus,,Bousquet 2012,
D1,braatr,Bradycellus atrimedeus,,Bousquet 2012,
D1,brabad,Bradycellus badipennis,,Bousquet 2012,
D1,bracon3,Bradycellus congener,,Bousquet 2012,
D1,bracor,Brachinus cordicollis,,Bousquet 2012,
D1,bracya1,Brachinus cyanipennis,,Bousquet 2012,
D1,bracya2,Brachinus cyanochroaticus,,Bousquet 2012,
D1,braful,Brachinus fulminatus,,Bousquet 2012,
D1,brafum,Brachinus fumans,,Bousquet 2012,
D1,brains,Bradycellus insulsus,,Bousquet 2012,
D1,brajan,Brachinus janthinipennis,,Bousquet 2012,
D1,brakan,Brachinus kansanus,,Bousquet 2012,
D1,brakav,Brachinus kavanaughi,,Bousquet 2012,
D1,brakir,Bradycellus kirbyi,,Bousquet 2012,
D1,bralec,Bradycellus lecontei,,Bousquet 2012,
D1,bralug,Bradycellus lugubris,,Bousquet 2012,
D1,bramed,Brachinus medius,,Bousquet 2012,
D1,braneg2,Bradycellus neglectus,,Bousquet 2012,
D1,branig2,Bradycellus nigriceps,,Bousquet 2012,
D1,branig3,Bradycellus nigrinus,,Bousquet 2012,
