genus,sp,subsp,state,federal status,state status,notes/additional state status,source
Laterallus,jamaicensis,coturniculus,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Meleagris,gallopavo,mexicana,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Passerculus,sandwichensis,rostratus,Arizona,,SA,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Passerculus,sandwichensis,rufofuscus,Arizona,,Imperiled,Vulnerable,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pelecanus,occidentalis,californicus,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Rallus,longirostris,yumanensis,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Strix,occidentalis,lucida,Arizona,,Vulnerable,Apparently Secure,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Vireo,bellii,arizonae,Arizona,,Apparently Secure,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agosia,chrysogaster,,Arizona,,Vulnerable,Apparently Secure,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agosia,chrysogaster,chrysogaster,Arizona,,Vulnerable,Apparently Secure,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agosia,chrysogaster,ssp,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Campostoma,ornatum,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Catostomus,bernardini,,Arizona,,Presumed extinct,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Catostomus,clarki,,Arizona,,Vulnerable,Apparently Secure,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Catostomus,discobolus,,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Catostomus,discobolus,discobolus,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Catostomus,discobolus,yarrowi,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Catostomus,insignis,,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Catostomus,latipinnis,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Catostomus,sp 3,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cyprinella,formosa,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cyprinodon,arcuatus,,Arizona,,Presumed extinct,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cyprinodon,eremus,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cyprinodon,macularius,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Gila,cypha,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Gila,ditaenia,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Gila,elegans,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Gila,intermedia,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Gila,nigra,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Gila,purpurea,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Gila,robusta,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Gila,seminuda,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Ictalurus,pricei,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Lepidomeda,mollispinis,mollispinis,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Lepidomeda,vittata,,Arizona,,Critically Imperiled,Imperiled,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Meda,fulgida,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Oncorhynchus,apache,,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Oncorhynchus,gilae,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Plagopterus,argentissimus,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Poeciliopsis,occidentalis,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Poeciliopsis,occidentalis,occidentalis,Arizona,,Critically Imperiled,Imperiled,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Poeciliopsis,occidentalis,sonoriensis,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Ptychocheilus,lucius,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Rhinichthys,osculus,,Arizona,,Vulnerable,Apparently Secure,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Tiaroga,cobitis,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Xyrauchen,texanus,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Ameletus,falsus,,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Anodonta,californiensis,,Arizona,,Critically Imperiled,Imperiled,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Apodemia,phyciodoides,,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Calephelis,rawsoni,arizonensis,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cicindela,hirticollis,corpuscula,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cicindela,oregona,maricopa,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cicindela,praetextata,pallidofemora,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cicindela,purpurea,cimarrona,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Daihinibaenetes,arizonensis,Arizona,Arizona,,Critically Imperiled,Vulnerable,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Eumorsea,pinaleno,,Arizona,,Critically Imperiled,Vulnerable,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Heterelmis,stephani,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Lycaena,ferrisi,,Arizona,,Critically Imperiled,Imperiled,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Oreohelix,grahamensis,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Oreohelix,yavapai,cummingsi,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Oxyloma,haydeni,haydeni,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,arizonae,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,bacchus,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,bernardina,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,conica,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,deserta,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,glandulosa,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,montezumensis,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,morrisoni,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,simplex,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,sola,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,thompsoni,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pyrgulopsis,trivialis,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Sonorella,allynsmithi,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Sonorella,christenseni,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Sonorella,eremita,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Sonorella,grahamensis,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Sonorella,imitator,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Sonorella,macrophallus,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Sonorella,papagorum,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Speyeria,nokomis,coerulescens,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Stenopelmatus,navajo,,Arizona,,Critically Imperiled,Vulnerable,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Tryonia,gilae,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Tryonia,quitobaquitae,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Ammospermophilus,leucurus,tersus,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Antilocapra,americana,mexicana,Arizona,,Presumed extinct,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Antilocapra,americana,sonoriensis,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Canis,lupus,baileyi,Arizona,,Presumed extinct,Critically Imperiled,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Canis,lupus,youngi,Arizona,,Presumed extinct,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cervus,canadensis,,Arizona,,Presumed extinct,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Dipodomys,microps,leucotis,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Dipodomys,spectabilis,baileyi,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Eumops,perotis,californicus,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Herpailurus,yaguarondi,tolteca,Arizona,,SRF,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Lasiurus,xanthinus,,Arizona,,Imperiled,Vulnerable,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Leopardus,pardalis,,Arizona,,Presumed extinct,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Leptonycteris,curasoae,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Leptonycteris,curasoae,yerbabuenae,Arizona,,Imperiled,Vulnerable,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Lontra,canadensis,sonora,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Microtus,longicaudus,leucophaeus,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Microtus,mexicanus,hualpaiensis,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Microtus,mexicanus,navaho,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Mustela,nigripes,,Arizona,,Presumed extinct,Critically Imperiled,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Myotis,occultus,,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Panthera,onca,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Perognathus,amplus,amplus,Arizona,,Secure,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Perognathus,amplus,cineris,Arizona,,Imperiled,Vulnerable,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Perognathus,flavus,goodpasteri,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Sciurus,nayaritensis,chiricahuae,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Sigmodon,arizonae,arizonae,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Sigmodon,arizonae,jacksoni,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Sigmodon,hispidus,eremicus,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Spermophilus,tridecemlineatus,monticola,Arizona,,Critically Imperiled,Imperiled,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Tamiasciurus,hudsonicus,grahamensis,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Thomomys,bottae,mearnsi,Arizona,,Secure,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Thomomys,bottae,subsimilis,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Thomomys,umbrinus,intermedius,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Ursus,arctos,horribilis,Arizona,,Presumed extinct,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Zapus,hudsonius,luteus,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,mckelveyana,,Arizona,,Apparently Secure,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,parviflora,parviflora,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,schottii,treleasei,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,toumeyana,bella,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Agave,utahensis,kaibabensis,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Allium,rhizomatum,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Aquilegia,chrysantha,rydbergii,Arizona,,SRF,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Astragalus,amphioxys,musimonum,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Astragalus,cobrensis,maguirei,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Astragalus,cremnophylax,cremnophylax,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Astragalus,cremnophylax,hevronii,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Astragalus,cremnophylax,myriorrhaphis,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Astragalus,geyeri,triquetrus,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Astragalus,newberryi,aquarii,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Astragalus,preussii,cutleri,Arizona,,State protected,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Astragalus,toanus,scidulus,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Ayenia,glabra,SRF,Arizona,,SRF,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Camissonia,specuicola,hesperia,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Capsicum,annuum,glabriusculum,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Carex,specuicola,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Castilleja,mogollonica,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Choisya,mollis,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Chrysothamnus,,,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cimicifuga,arizonica,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cirsium,parryi,mogollonicum,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Coeloglossum,viride,virescens,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Coryphantha,missouriensis,,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Coryphantha,robbinsorum,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Coryphantha,scheeri,robustispina,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cryptantha,cinerea,arenicola,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cycladenia,humilis,jonesii,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Cypripedium,parviflorum,pubescens,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Echinocactus,horizonthalonius,nicholii,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Echinocactus,polycephalus,polycephalus,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Echinocactus,polycephalus,xeranthemoides,Arizona,,Imperiled,Vulnerable,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Echinocereus,pectinatus,neomexicanus,Arizona,,Apparently Secure,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Echinocereus,pectinatus,pectinatus,Arizona,,Apparently Secure,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Echinocereus,triglochidiatus,arizonicus,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Echinomastus,erectocentrus,acunensis,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Echinomastus,erectocentrus,erectocentrus,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Eriogonum,ericifolium,ericifolium,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Eriogonum,terrenatum,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Eriogonum,thompsoniae,atwoodii,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Escobaria,vivipara,rosea,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Eupatorium,bigelovii,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Euphorbia,gracillima,,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Euphorbia,platysperma,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Ferocactus,cylindraceus,lecontei,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Flaveria,mcdougallii,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Hedeoma,costatum,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Hedeoma,dentatum,,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Hedeoma,diffusum,,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Helianthus,niveus,tephrodes,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Ipomoea,plummerae,cuneifolia,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Lilaeopsis,schaffneriana,recurva,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Lophocereus,schottii,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Lupinus,latifolius,leucanthus,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Mammillaria,viridiflora,,Arizona,,Apparently Secure,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Mammillaria,wrightii,wilcoxii,Arizona,,Apparently Secure,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Mammillaria,wrightii,wrightii,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Mentzelia,memorabalis,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Metastelma,mexicanum,,Arizona,,Critically Imperiled,Imperiled,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Muhlenbergia,dubioides,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Muhlenbergia,xerophila,,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,arbuscula,,Arizona,,Vulnerable,Apparently Secure,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,basilaris,aurea,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,basilaris,longiareolata,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,echinocarpa,,Arizona,,Secure,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,nicholii,,Arizona,,Apparently Secure,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,phaeacantha,major,Arizona,,Vulnerable,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,pulchella,,Arizona,,SRF,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,superbospina,,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,versicolor,,Arizona,,Imperiled,Vulnerable,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,whipplei,multigeniculata,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,whipplei,whipplei,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,x,kelvinensis,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Opuntia,x,tetracantha,Arizona,,Historical possibly extirpated,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Palafoxia,arida,gigantea,Arizona,,Critically Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Passiflora,arizonica,,Arizona,,Imperiled,,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pediocactus,papyracanthus,,Arizona,,Imperiled,Vulnerable,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
Pediocactus,peeblesianus,fickeiseniae,Arizona,,Critically Imperiled,Imperiled,http://www.mendeley.com/c/5091872772/g/2058663/arizona-species-status-state-rankings/
