"","taxon_id","spp_id","source_id","scientific_name","genus","subgenus","species","subspecies","authority_name","authority_year","itis_number","common_name"
"699","herps","lam_tri4","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lampropeltis triangulum celaenops","Lampropeltis",NA,"triangulum","celaenops","Stejneger",1903,NA,"New Mexico Milksnake"
"700","herps","lam_tri5","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lampropeltis triangulum elapsoides","Lampropeltis",NA,"triangulum","elapsoides","Holbrook",1838,NA,"Scarlet Kingsnake"
"701","herps","lam_tri6","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lampropeltis triangulum gentilis","Lampropeltis",NA,"triangulum","gentilis","Baird and Girard",1853,NA,"Central Plains Milksnake"
"702","herps","lam_tri7","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lampropeltis triangulum multistriata","Lampropeltis",NA,"triangulum","multistriata","Kennicott",1860,NA,"Pale Milksnake"
"703","herps","lam_tri8","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lampropeltis triangulum syspila","Lampropeltis",NA,"triangulum","syspila","Cope",1888,NA,"Red Milksnake"
"704","herps","lam_tri9","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lampropeltis triangulum taylori","Lampropeltis",NA,"triangulum","taylori","Tanner and Loomis",1957,NA,"Utah Milksnake"
"705","herps","lam_tri12",NA,"Lampropeltis triangulum temporalis","Lampropeltis",NA,"triangulum","temporalis",NA,NA,NA,"Coastal plain kingsnake"
"706","herps","lam_tri10","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lampropeltis triangulum triangulum","Lampropeltis",NA,"triangulum","triangulum","Lacepide",1789,NA,"Eastern Milksnake"
"707","herps","lam_zon","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lampropeltis zonata","Lampropeltis",NA,"zonata",NA,"Lockington ex Blainville",1876,NA,"California Mountain Kingsnake"
"708","herps","lam_del","http://www.mendeley.com/catalog/scientific-standard-english-names-amphibians-reptiles-north-america-north-mexico-comments-regarding/","Lampropholis delicata","Lampropholis",NA,"delicata",NA,"De Vis",1888,NA,"Plague Skink"
