"taxonID","acceptedTaxonID","startUseDate","endUseDate","kingdom","phylum","class","order","family","subfamily","tribe","genus","subgenus","speciesGroup","specificEpithet","infraspecificEpithet","scientificName","scientificNameAuthorship","taxonRank","vernacularName","nameAccordingTo","nameAccordingtoID","taxonomicStatus","protocolCategory"
"GEPI","GEPI",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Geomyidae ","","","Geomys","","","pinetis","","Geomys pinetis","Rafinesque","species","Southeastern Pocket Gopher","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"GESP","GESP",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Geomyidae ","","","Geomys",,"","sp.","","Geomys sp.",,"genus",,"Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"GLSA","GLSA",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurinae","Pteromyini","Glaucomys","","","sabrinus","","Glaucomys sabrinus","Shaw","species","Northern Flying Squirrel","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"GLSP","GLSP",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurinae","Pteromyini","Glaucomys",,"","sp.","","Glaucomys sp.",,"genus",,"Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"GLVO","GLVO",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Sciurinae","Pteromyini","Glaucomys","","","volans","","Glaucomys volans","Linnaeus","species","Southern Flying Squirrel","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"LECU","LECU",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Lemmiscus","","","curtatus","","Lemmiscus curtatus","Cope","species","Sagebrush Vole","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"LESI","LESI",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Lemmus","","","sibiricus","","Lemmus sibiricus","Kerr","species","Siberian Brown Lemming","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"LESP","LESP",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Lemmus",,"","sp.","","Lemmus sp.",,"genus",,"Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"LETR","LETR",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Lemmus","","","trimucronatus","","Lemmus trimucronatus","Richardson","species","Nearctic Brown Lemming","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"LEAL","LEAL",2012-05-01,"","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","","","Lepus","Macrotolagus","","alleni","","Lepus alleni","Mearns","species","Antelope Jackrabbit","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"LEAM","LEAM",2012-05-01,"","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","","","Lepus","Poecilolagus","","americanus","","Lepus americanus","Erxleben","species","Snowshoe Hare","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"LECA","LECA",2012-05-01,"","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","","","Lepus","","","californicus","","Lepus californicus","Gray","species","Blacktailed Jackrabbit","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"LPSP","LPSP",2012-05-01,"","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","","","Lepus",,"","sp.","","Lepus sp.",,"genus",,"Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"LETO","LETO",2012-05-01,"","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","","","Lepus","","","townsendii","","Lepus townsendii","Bachman","species","Whitetailed Jackrabbit","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","non-target"
"MIME","MIME",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Heteromyidae","Dipodomyinae","","Microdipodops","","","megacephalus","","Microdipodops megacephalus","Merriam","species","Dark Kangaroo Mouse","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","opportunistic"
"MICA","MICA",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Microtus","","","californicus","","Microtus californicus","Peale","species","California Vole","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"MICC","MICC",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Microtus","Mynomes","","canicaudus","","Microtus canicaudus","Miller","species","Graytailed Vole","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"MICH","MICH",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Microtus","","","chrotorrhinus","","Microtus chrotorrhinus","Miller","species","Rock Vole","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"MILO","MILO",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Microtus","","","longicaudus","","Microtus longicaudus","Merriam","species","Longtailed Vole","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"MIMI","MIMI",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Microtus","","","miurus","","Microtus miurus","Osgood","species","Singing Vole","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"MIMG","MIMG",2012-05-01,"","Animalia","Chordata","Mammalia",,,,,"Microtus",,"","mogollonensis","","Microtus mogollonensis",,"species",,"Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"MIMO","MIMO",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Microtus","Mynomes","","montanus","","Microtus montanus","Peale","species","Montane Vole","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"MIOC","MIOC",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Microtus","Pedomys","","ochrogaster","","Microtus ochrogaster","Wagner","species","Prairie Vole","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"MIOE","MIOE",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Microtus","Alexandromys","","oeconomus","","Microtus oeconomus","Pallas","species","Root Vole","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
"MIOR","MIOR",2012-05-01,"","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Arvicolinae","","Microtus","Mynomes","","oregoni","","Microtus oregoni","Bachman","species","Creeping Vole","Don E. Wilson & DeeAnn M. Reeder (editors). 2005. Mammal Species of the World. A Taxonomic and Geographic Reference (3rd ed), Johns Hopkins University Press, 2,142 pp.","Wilson&Reeder2005","accepted","target"
