family,taxon_id,spp_id,source_id,scientific_name,genus,subgenus,species,subspecies,authority_name,authority_year,itis_number,common_name,species_level_id
Soricidae,mammal,sor_fum,Wilson_2005,Sorex fumeus,Sorex,,fumeus,,G. M. Miller,1895,,Smoky Shrew,1
Soricidae,mammal,sor_hay,Wilson_2005,Sorex haydeni,Sorex,,haydeni,,Baird,1857,,Prairie Shrew,1
Soricidae,mammal,sor_hoy,Wilson_2005,Sorex hoyi,Sorex,,hoyi,,Baird,1857,,American Pygmy Shrew,1
Soricidae,mammal,sor_lon,Wilson_2005,Sorex longirostris,Sorex,,longirostris,,Bachman,1837,,Southeastern Shrew,1
Soricidae,mammal,sor_lye,Wilson_2005,Sorex lyelli,Sorex,,lyelli,,Merriam,1902,,Mt. Lyell Shrew,1
Soricidae,mammal,sor_mer,Wilson_2005,Sorex merriami,Sorex,,merriami,,Dobson,1890,,Merriam's Shrew,1
Soricidae,mammal,sor_mon,Wilson_2005,Sorex monticolus,Sorex,,monticolus,,Merriam,1890,,Dusky Shrew,1
Soricidae,mammal,sor_nan,Wilson_2005,Sorex nanus,Sorex,,nanus,,Merriam,1895,,Dwarf Shrew,1
Soricidae,mammal,sor_orn,Wilson_2005,Sorex ornatus,Sorex,,ornatus,,Merriam,1895,,Ornate Shrew,1
Soricidae,mammal,sor_pal,Wilson_2005,Sorex palustris,Sorex,,palustris,,Richardson,1828,,American Water Shrew,1
Soricidae,mammal,sor_pre,Wilson_2005,Sorex preblei,Sorex,,preblei,,Jackson,1922,,Preble's Shrew,1
Soricidae,mammal,sor_tro,Wilson_2005,Sorex trowbridgii,Sorex,,trowbridgii,,Baird,1857,,Trowbridge's Shrew,1
Soricidae,mammal,sor_tun,Wilson_2005,Sorex tundrensis,Sorex,,tundrensis,,Merriam,1900,,Tundra Shrew,1
Soricidae,mammal,sor_ugy,Wilson_2005,Sorex ugyunak,Sorex,,ugyunak,,Anderson and Rand,1945,,Barren Ground Shrew,1
Soricidae,mammal,sor_vag,Wilson_2005,Sorex vagrans,Sorex,,vagrans,,Baird,1857,,Vagrant Shrew,1
Sciuridae,mammal,spe_arm,Wilson_2005,Spermophilus armatus,Spermophilus,,armatus,,Kennicott,1863,,Uinta Ground Squirrel,1
Sciuridae,mammal,spe_bee,Wilson_2005,Spermophilus beecheyi,Spermophilus,,beecheyi,,Richardson,1829,,California Ground Squirrel,1
Sciuridae,mammal,spe_bel,Wilson_2005,Spermophilus beldingi,Spermophilus,,beldingi,,Merriam,1888,,Belding's Ground Squirrel,1
Sciuridae,mammal,spe_fra,Wilson_2005,Spermophilus franklinii,Spermophilus,,franklinii,,Sabine,1822,,Franklin's Ground Squirrel,1
Sciuridae,mammal,spe_lat,Wilson_2005,Spermophilus lateralis,Spermophilus,,lateralis,,Say,1823,,Golden-mantled Ground Squirrel,1
Sciuridae,mammal,spe_mol,Wilson_2005,Spermophilus mollis,Spermophilus,,mollis,,Kennicott,1863,,Piute Ground Squirrel,1
Sciuridae,mammal,spe_par,Wilson_2005,Spermophilus parryii,Spermophilus,,parryii,,Richardson,1825,,Arctic Ground Squirrel,1
Sciuridae,mammal,spe_ric,Wilson_2005,Spermophilus richardsonii,Spermophilus,,richardsonii,,Sabine,1822,,Richardson's Ground Squirrel,1
Sciuridae,mammal,spe_sat,Wilson_2005,Spermophilus saturatus,Spermophilus,,saturatus,,Rhoads,1895,,Cascade Golden-mantled Ground Squirrel,1
Sciuridae,mammal,spe_spi,Wilson_2005,Spermophilus spilosoma,Spermophilus,,spilosoma,,Bennett,1833,,Spotted Ground Squirrel,1
Sciuridae,mammal,spe_ter,Wilson_2005,Spermophilus tereticaudus,Spermophilus,,tereticaudus,,Baird,1858,,Round-tailed Ground Squirrel,1
Sciuridae,mammal,spe_tri,Wilson_2005,Spermophilus tridecemlineatus,Spermophilus,,tridecemlineatus,,Mitchill,1821,,Thirteen-lined Ground Squirrel,1
Sciuridae,mammal,spe_var,Wilson_2005,Spermophilus variegatus,Spermophilus,,variegatus,,Erxleben,1777,,Rock Squirrel,1
Mephitidae,mammal,spi_gra,Wilson_2005,Spilogale gracilis,Spilogale,,gracilis,,Merriam,1890,,Western Spotted Skunk,1
Mephitidae,mammal,spi_put,Wilson_2005,Spilogale putorius,Spilogale,,putorius,,Linnaeus,1758,,Eastern Spotted Skunk,1
Leporidae,mammal,syl_aqu,Wilson_2005,Sylvilagus aquaticus,Sylvilagus,,aquaticus,,Bachman,1837,,Swamp Rabbit,1
Leporidae,mammal,syl_aud,Wilson_2005,Sylvilagus audubonii,Sylvilagus,,audubonii,,Baird,1858,,Desert Cottontail,1
Leporidae,mammal,syl_bac,Wilson_2005,Sylvilagus bachmani,Sylvilagus,,bachmani,,Waterhouse,1839,,Brush Rabbit,1
Leporidae,mammal,syl_flo,Wilson_2005,Sylvilagus floridanus,Sylvilagus,,floridanus,,J. A. Allen,1890,,Eastern Cottontail,1
Leporidae,mammal,syl_nut,Wilson_2005,Sylvilagus nuttallii,Sylvilagus,,nuttallii,,Bachman,1837,,Mountain Cottontail,1
Leporidae,mammal,syl_obs,Wilson_2005,Sylvilagus obscurus,Sylvilagus,,obscurus,,Chapman et al.,1992,,Appalachian Cottontail,1
Leporidae,mammal,syl_pal,Wilson_2005,Sylvilagus palustris,Sylvilagus,,palustris,,Bachman,1837,,Marsh Rabbit,1
Leporidae,mammal,syl_tra,Wilson_2005,Sylvilagus transitionalis,Sylvilagus,,transitionalis,,Bangs,1895,,New England Cottontail,1
Cricetidae,mammal,syn_bor,Wilson_2005,Synaptomys borealis,Synaptomys,,borealis,,Richardson,1828,,Northern Bog Lemming,1
Cricetidae,mammal,syn_coo,Wilson_2005,Synaptomys cooperi,Synaptomys,,cooperi,,Baird,1857,,Southern Bog Lemming,1
Molossidae,mammal,tad_bra,Wilson_2005,Tadarida brasiliensis,Tadarida,,brasiliensis,,I. Geoffroy,1824,,Brazilian Free-tailed Bat (known as the Mexican Free-tailed Bat in North America),1
Sciuridae,mammal,tam_amo,Wilson_2005,Tamias amoenus,Tamias,,amoenus,,J. A. Allen,1890,,Yellow-pine Chipmunk,1
Sciuridae,mammal,tam_cin,Wilson_2005,Tamias cinereicollis,Tamias,,cinereicollis,,J. A. Allen,1890,,Gray-collared Chipmunk,1
Sciuridae,mammal,tam_dor,Wilson_2005,Tamias dorsalis,Tamias,,dorsalis,,Baird,1855,,Cliff Chipmunk,1
Sciuridae,mammal,tam_mer,Wilson_2005,Tamias merriami,Tamias,,merriami,,J. A. Allen,1889,,Merriam's Chipmunk,1
Sciuridae,mammal,tam_min,Wilson_2005,Tamias minimus,Tamias,,minimus,,Bachman,1839,,Least Chipmunk,1
Sciuridae,mammal,tam_qua,Wilson_2005,Tamias quadrivittatus,Tamias,,quadrivittatus,,Say,1823,,Colorado Chipmunk,1
Sciuridae,mammal,tam_ruf,Wilson_2005,Tamias rufus,Tamias,,rufus,,Hoffmeister and Ellis,1979,,Hopi Chipmunk,1
Sciuridae,mammal,tam_spe,Wilson_2005,Tamias speciosus,Tamias,,speciosus,,Merriam,1890,,Lodgepole Chipmunk,1
Sciuridae,mammal,tam_str,Wilson_2005,Tamias striatus,Tamias,,striatus,,Linnaeus,1758,,Eastern Chipmunk,1
Sciuridae,mammal,tam_tow,Wilson_2005,Tamias townsendii,Tamias,,townsendii,,Bachman,1839,,Townsend's Chipmunk,1
Sciuridae,mammal,tam_umb,Wilson_2005,Tamias umbrinus,Tamias,,umbrinus,,J. A. Allen,1890,,Uinta Chipmunk,1
Sciuridae,mammal,tam_dou,Wilson_2005,Tamiasciurus douglasii,Tamiasciurus,,douglasii,,Bachman,1838,,Douglas's Squirrel,1
Sciuridae,mammal,tam_hud,Wilson_2005,Tamiasciurus hudsonicus,Tamiasciurus,,hudsonicus,,Erxleben,1777,,Red Squirrel,1
Mustelidae,mammal,tax_tax,Wilson_2005,Taxidea taxus,Taxidea,,taxus,,Schreber,1777,,American Badger,1
Geomyidae,mammal,tho_bot,Wilson_2005,Thomomys bottae,Thomomys,,bottae,,(Eydoux and Gervais),1836,,Botta's Pocket Gopher.,1
Geomyidae,mammal,tho_ida,Wilson_2005,Thomomys idahoensis,Thomomys,,idahoensis,,Merriam,1901,,Idaho Pocket Gopher.,1
Geomyidae,mammal,tho_tal,Wilson_2005,Thomomys talpoides,Thomomys,,talpoides,,(Richardson),1828,,Northern Pocket Gopher.,1
Geomyidae,mammal,tho_umb,Wilson_2005,Thomomys umbrinus,Thomomys,,umbrinus,,(Richardson),1829,,Southern Pocket Gopher.,1
Canidae,mammal,uro_cin,Wilson_2005,Urocyon cinereoargenteus,Urocyon,,cinereoargenteus,,Schreber,1775,,Gray Fox,1
Ursidae,mammal,urs_ame,Wilson_2005,Ursus americanus,Ursus,,americanus,,Pallas,1780,,American Black Bear,1
Ursidae,mammal,urs_arc,Wilson_2005,Ursus arctos,Ursus,,arctos,,Linnaeus,1758,,Brown Bear,1
Ursidae,mammal,urs_mar,Wilson_2005,Ursus maritimus,Ursus,,maritimus,,Phipps,1774,,Polar Bear,1
Canidae,mammal,vul_lag,Wilson_2005,Vulpes lagopus,Vulpes,,lagopus,,Linnaeus,1758,,Arctic Fox,1
Canidae,mammal,vul_vel,Wilson_2005,Vulpes velox,Vulpes,,velox,,Say,1823,,Swift Fox,1
Canidae,mammal,vul_vul,Wilson_2005,Vulpes vulpes,Vulpes,,vulpes,,Linnaeus,1758,,Red Fox,1
Dipodidae,mammal,zap_hud,Wilson_2005,Zapus hudsonius,Zapus,,hudsonius,,Zimmermann,1780,,Meadow Jumping Mouse,1
Dipodidae,mammal,zap_pri,Wilson_2005,Zapus princeps,Zapus,,princeps,,Allen,1893,,Western Jumping Mouse,1
Dipodidae,mammal,zap_tri,Wilson_2005,Zapus trinotatus,Zapus,,trinotatus,,Rhoads,1894,,Pacific Jumping Mouse,1
Cricetidae,mammal,mic_mog,Wilson_2005,Microtus mogollonensis,Microtus,,mogollonensis,,,,,Mogollon vole,1
