unaccepted_synonym,accepted_synonym
Clethrionomys erica,Myodes glareolus erica
Clethrionomys glareolus erica,Myodes glareolus erica
Arvicola fulvus,Myodes glareolus fulvus
Clethrionomys glareolus garganicus,Myodes glareolus garganicus
Clethrionomys glareolus glareolus,Myodes glareolus glareolus
Evotomys gorka,Myodes glareolus gorka
Clethrionomys glareolus gorka,Myodes glareolus gorka
Clethrionomys glareolus hallucis,Myodes glareolus hallucalis
Clethrionomys glareolus hallucalis,Myodes glareolus hallucalis
Evotomys hercynicus helveticus,Myodes glareolus helveticus
Hypudaeus hercynicus,Myodes glareolus hercynicus
Clethrionomys glareolus insulaebellae,Myodes glareolus insulaebellae
Evotomys glareolus intermedius,Myodes glareolus intermedius
Evotomys glareolus istericus,Myodes glareolus istericus
Evotomys glareolus italicus,Myodes glareolus italicus
Clethrionomys glareolus italicus,Myodes glareolus italicus
Clethrionomys jurassicus,Myodes glareolus jurassicus
Clethrionomys glareolus jurassicus,Myodes glareolus jurassicus
Clethrionomys glareolus makedonicus,Myodes glareolus makedonicus
Mus rutilus minor,Myodes glareolus minor
Hypudaeus nageri,Myodes glareolus nageri
Clethrionomys nageri nageri,Myodes glareolus nageri
Evotomys norvegicus,Myodes glareolus norvegicus
Clethrionomys glareolus norvegicus,Myodes glareolus norvegicus
Evotomys glareolus ognevi,Myodes glareolus ognevi
Clethrionomys glareolus petrovi,Myodes glareolus petrovi
Clethrionomys glareolus pirinus,Myodes glareolus pirinus
Evotomys ponticus,Myodes glareolus ponticus
Clethrionomys glareolus ponticus,Myodes glareolus ponticus
Lemmus pratensis,Myodes glareolus pratensis
Evotomys glareolus reinwaldti,Myodes glareolus reinwaldti
Arvicola riparia,Myodes glareolus riparia
Lemmus rubidus,Myodes glareolus rubidus
Clethrionomys glareolus rubidus,Myodes glareolus rubidus
Arvicola rufescens,Myodes glareolus rufescens
Myodes glareolus ruttneri,Myodes glareolus ruttneri
Clethrionomys glareolus ruttneri,Myodes glareolus ruttneri
Evotomys glareolus saianicus,Myodes glareolus saianicus
Clethrionomys glareolus tomensis,Myodes glareolus sibericus
Evotomys skomerensis,Myodes glareolus skomerensis
Clethrionomys sobrus,Myodes glareolus sobrus
Clethrionomys glareolus sobrus,Myodes glareolus sobrus
Evotomys hercynicus suecicus,Myodes glareolus suecicus
Clethrionomys glareolus variscicus,Myodes glareolus variscicus
Evotomys vasconiae,Myodes glareolus vasconiae
Clethrionomys glareolus vasconiae,Myodes glareolus vasconiae
Clethrionomys vesanus,Myodes glareolus vesanus
Evotomys nageri vesanus,Myodes glareolus vesanus
Evotomys glareolus wasjuganensis,Myodes glareolus wasjuganensis
Craseomys regulus,Myodes regulus
Clethrionomys rufocanus regulus,Myodes regulus
Clethrionomys rufocanus rex,Myodes rex
Clethrionomys rex,Myodes rex
Clethrionomys rufocanus,Myodes rufocanus
Hypudaeus rufocanus,Myodes rufocanus
Neoaschizomys sikotanensis akkessi,Myodes rufocanus akkeshii
Evotomys (Craseomys) arsenjevi,Myodes rufocanus arsenjevi
Clethrionomys rufocanus bargusinensis,Myodes rufocanus bargusinensis
Evotomys bedfordiae,Myodes rufocanus bedfordiae
Clethrionomys rufocanus bromleyi,Myodes rufocanus bromleyi
Myodes rufocanus changbaishensis,Myodes rufocanus changbaishanensis
Evotomys irkutensis,Myodes rufocanus irkutensis
Clethrionomys rufocanus irkutensis,Myodes rufocanus irkutensis
Arvicola rufocanus var. kamtschaticus,Myodes rufocanus kamtschaticus
Evotomys kolymensis,Myodes rufocanus kolymensis
Clethrionomys rufocanus kurilensis,Myodes rufocanus kurilensis
Evotomys latastei,Myodes rufocanus latastei
Clethrionomys rufocanus latastei,Myodes rufocanus latastei
Clethrionomys montanus,Myodes rufocanus montanus
Clethrionomys rufocanus montanus,Myodes rufocanus montanus
Clethrionomys rufocanus rufocanus,Myodes rufocanus rufocanus
Arvicola rufocanus var. sibirica,Myodes rufocanus siberica
Arvicola wosnessenskii,Myodes rufocanus wosnessenskii
Clethrionomys yesomontanus,Myodes rufocanus yesomontanus
Clethrionomys rutilus,Myodes rutilus
Mus rutilus,Myodes rutilus
Evotomys alascensis,Myodes rutilus alascensis
Clethrionomys rutilus alascensis,Myodes rutilus alascensis
Clethrionomys albiventer,Myodes rutilus albiventer
Arvicola amurensis,Myodes rutilus amurensis
Evotomys baicalensis,Myodes rutilus baikalensis
Clethrionomys dawsoni,Myodes rutilus dawsoni
Evotomys dawsoni,Myodes rutilus dawsoni
Clethrionomys rutilus dorogostaiskii,Myodes rutilus dorogostaiskii
Clethrionomys dawsoni glacialis,Myodes rutilus glacialis
Clethrionomys rutilus hintoni,Myodes rutilus hintoni
Evotomys dawsoni insularis,Myodes rutilus insularis
Clethrionomys rutilus insularis,Myodes rutilus insularis
Evotomys rutilus jacutensis,Myodes rutilus jacutensis
Evotomys jochelsoni,Myodes rutilus jochelsoni
Evotomys laticeps,Myodes rutilus laticeps
Clethrionomys rutilus latigriseus,Myodes rutilus latigriseus
Evotomys rutilus lenaensis,Myodes rutilus lenaensis
Evotomys mikado,Myodes rutilus mikado
Microtus mollessonae,Myodes rutilus mollessonae
Clethrionomys rutilus narymensis,Myodes rutilus narymensis
Evotomys orca,Myodes rutilus orca
Clethrionomys dawsoni orca,Myodes rutilus orca
Evotomys otus,Myodes rutilus otus
Evotomys parvidens,Myodes rutilus parvidens
Clethrionomys rutilus platycephalus,Myodes rutilus platycephalus
Clethrionomys rjabovi,Myodes rutilus rjabovi
Clethrionomys rutilus rossicus,Myodes rutilus rossicus
Evotomys rutilus russatus,Myodes rutilus russatus
Clethrionomys rutilus russatus,Myodes rutilus russatus
Clethrionomys rutilus rutilus,Myodes rutilus rutilus
Clethrionomys rutilus salairicus,Myodes rutilus salairicus
Clethrionomys rutilus tundrensis,Myodes rutilus tundrensis
Clethrionomys rutilus uralensis,Myodes rutilus uralensis
Evotomys rutilus vinogradovi,Myodes rutilus vinogradovi
Evotomys rutilis volgensis,Myodes rutilus volgensis
Clethrionomys rutilus washburni,Myodes rutilus washburni
Clethrionomys dawsoni watsoni,Myodes rutilus watsoni
Craseomys shanseius,Myodes shanseius
Evotomys rufocanus shanseius,Myodes shanseius
Eothenomys inez jeholicus,Myodes shanseius jeholicus
Eothenomys shanseius shanseius,Myodes shanseius shanseius
Clethrionomys rufocanus sikotanensis,Myodes sikotanensis
Clethrionomys sikotanensis,Myodes sikotanensis
Clethrionomys rex microtinus,Myodes sikotanensis microtinus
Neoaschizomys sikotanensis sikotanensis,Myodes sikotanensis sikotanensis
Myoictis melas leucura,Myoictis leucura
Phascogalea thorbeckiana,Myoictis melas
Phascogale pilicauda,Myoictis melas
Chaetocercus bruijnii,Myoictis melas bruijni
Phascogale melas buergersi,Myoictis melas buergersi
Phascogale pilicauda,Myoictis melas pilicauda
Phascogale melas senex,Myoictis melas senex
Phascogalea thorbeckiana,Myoictis melas thorbeckiana
Myoictis wallacii,Myoictis wallacei
Myoictis melas wavicus,Myoictis wavicus
Myomimus bulgaricus,Myomimus roachi bulgaricus
Praomys daltoni,Myomys daltoni
Myomys butleri,Myomys daltoni butleri
Rattus butleri,Myomys daltoni butleri
Rattus daltoni daltoni,Myomys daltoni daltoni
Rattus daltoni ingoldbyi,Myomys daltoni ingoldbyi
Rattus saturatus,Myomys daltoni saturatus
Grammomys macmillani tuareg,Myomys daltoni tuareg
Praomys derooi,Myomys derooi
Mus brockmani,Myomyscus brockmani
Rattus brockmani,Myomyscus brockmani
Praomys fumatus allisoni,Myomyscus brockmani allisoni
Myomys fumatus allisoni,Myomyscus brockmani allisoni
Mus fumatus,Myomyscus brockmani brockmani
Myomys fumatus fumatus,Myomyscus brockmani brockmani
Myomys niveiventris,Myomyscus brockmani niveiventris
Epimys niveiventris,Myomyscus brockmani niveiventris
Praomys fumatus oweni,Myomyscus brockmani oweni
Myomyscus fumatus oweni,Myomyscus brockmani oweni
Rattus fumatus subfuscus,Myomyscus brockmani subfuscus
Myomyscus fumatus subfuscus,Myomyscus brockmani subfuscus
Epimys niveiventris ulae,Myomyscus brockmani ulae
Myomyscus fumatus ulae,Myomyscus brockmani ulae
Praomys verreauxii,Myomyscus verreauxii
Myomys verroxii,Myomyscus verreauxii
Epimys colonus,Myomyscus verreauxii colonus
Myomys colonus colonus,Myomyscus verreauxii colonus
Myomys fumatus yemeni,Myomyscus yemeni
Cynonyderis brachycephala,Myonycteris brachycephala
Cynonycteris torquata,Myonycteris torquata
Cynopterus collaris,Myonycteris torquata collaris
Myonycteris leptodon,Myonycteris torquata leptodon
Myonycteris wroughtoni,Myonycteris torquata wroughtoni
Myoprocta exilis demararae,Myoprocta acouchy demararae
Dasyprocta exilis exilis,Myoprocta acouchy exilis
Myoprocta exilis exilis,Myoprocta acouchy exilis
Dasyprocta agouti leptura,Myoprocta acouchy leptura
Myoprocta leptura,Myoprocta acouchy leptura
Myoprocta acouchy pratti,Myoprocta pratti
Dasyprocta pratti,Myoprocta pratti
Myoprocta acouchy archidonae,Myoprocta pratti archidonae
Myoprocta acouchy caymanum,Myoprocta pratti caymanum
Myoprocta acouchy limanus,Myoprocta pratti limanus
Myoprocta acouchy milleri,Myoprocta pratti milleri
Myoprocta milleri,Myoprocta pratti milleri
Myoprocta acouchy parva,Myoprocta pratti parva
Myoprocta acouchy puralis,Myoprocta pratti pluralis
Myopterus albatus,Myopterus daubentonii albatus
Eomops whitleyi,Myopterus whitleyi
Myopus middendorfii,Myopus schisticolor
Myopus middendorfii,Myopus schisticolor middendorfi
Myopus morulus,Myopus schisticolor morulus
Myopus saianicus,Myopus schisticolor saianicus
Myosciurus minutulus,Myosciurus pumilio
Sciurus minutus,Myosciurus pumilio
Myosciurus minutus,Myosciurus pumilio minutus
Myosorex blarina babaulti,Myosorex babaulti
Myosorex varius cafer,Myosorex cafer
Myosorex swinnyi,Myosorex cafer swinnyi
Crocidura maurisca geata,Myosorex geata
Myosorex eisentrauti okuensis,Myosorex okuensis
Myosorex eisentrauti rumpii,Myosorex rumpii
Myosorex caffer sclateri,Myosorex sclateri
Myosorex affinis,Myosorex sclateri affinis
Myosorex talpinus,Myosorex sclateri talpinus
Myosorex caffer tenuis,Myosorex tenuis
Suncus varius,Myosorex varius
Sorex capensis,Myosorex varius capensis
Sorex herpestes,Myosorex varius herpestes
Myosorex transvaalensis,Myosorex varius transvaalensis
Suncus varius varius,Myosorex varius varius
Crocidura allex zinki,Myosorex zinki
Myospalax myospalax aspalax,Myospalax aspalax
Myospalax armandii,Myospalax aspalax armandii
Myospalax myospalax dybowskii,Myospalax aspalax dybowskii
Lemmus zokor,Myospalax aspalax zokor
Myospalax myospalax epsilanus,Myospalax epsilanus
Myospalax komurai,Myospalax myospalax komurai
Myospalax myospalax psilurus,Myospalax psilurus
Siphneus psilurus,Myospalax psilurus
Myotis daubentoni abei,Myotis abei
Vespertilio adversus,Myotis adversus
Myotis muricola amboinensis,Myotis adversus amboinensis
Myotis carimatae,Myotis adversus carimatae
Myotis argentatus,Myotis albescens argentatus
Vespertilio arsinoë,Myotis albescens arsinoe
Vespertilio isidori,Myotis albescens isidori
Vespertilio leucogaster,Myotis albescens leucogaster
Vespertilio mundus,Myotis albescens mundus
Myotis goudoti anjouanensis,Myotis anjouanensis
Vesperugo annectans,Myotis annectans
Vesperugo annectens,Myotis annectans annectens
Pipistrellus annectens,Myotis annectans annectens
Myotis primula,Myotis annectans primula
Myotis chiloensis atacamensis,Myotis atacamensis
Myotis nigricans nicholsoni,Myotis atacamensis nicholsoni
Myotis muricola ater,Myotis ater
Myotis muricola nugax,Myotis ater nugax
Myotis mystacinus aurascens,Myotis aurascens
Myotis mystacinus bulgaricus,Myotis aurascens bulgaricus
Myotis mystacinus mongolicus,Myotis aurascens mongolicus
Myotis mystacinus popovi,Myotis aurascens popovi
Myotis auriculacea apache,Myotis auriculus apache
Myotis evotis apache,Myotis auriculus apache
Myotis auriculacea auriculacea,Myotis auriculus auriculus
Myotis ater australis,Myotis australis
Vespertilio lucifugus austroriparius,Myotis austroriparius
Vespertilio bechsteini,Myotis bechsteini
Vespertilio ghidinii,Myotis bechsteini ghidinii
Vespertilio blythii,Myotis blythii
Myotis africanus,Myotis blythii africanus
Vespertilio murinus africanus,Myotis blythii africanus
Myotis ancilla,Myotis blythii ancilla
Myotis myosotis ancilla,Myotis blythii ancilla
Vespertilio murinoides,Myotis blythii dobsoni
Vespertilio murinoides,Myotis blythii murinoides
Myotis murinus,Myotis blythii murinus
Myotis myotis omari,Myotis blythii omari
Vespertilio oxygnathus,Myotis blythii oxygnathus
Myotis myotis oxygnathus,Myotis blythii oxygnathus
Myotis myotis risorius,Myotis blythii risorius
Myotis bocagei,Myotis bocagii
Vespertilio Bocagii,Myotis bocagii bocagii
Myotis cupreolus,Myotis bocagii cupreolus
Myotis dogalensis,Myotis bocagii dogalensis
Myotis hildegardeae,Myotis bocagii hildegardeae
Myotis nattereri bombinus,Myotis bombinus
Myotis nattereri amurensis,Myotis bombinus amurensis
Myotis mystacinus brandti,Myotis brandtii
Myotis mystacinus fujiensis,Myotis brandtii fujiensis
Myotis fujiensis,Myotis brandtii fujiensis
Myotis mystacinus gracilis,Myotis brandtii gracilis
Myotis sibiricus,Myotis brandtii sibiricus
Myotis longicaudatus bucharensis,Myotis bucharensis
Vespertilio californicus,Myotis californicus
Vespertilio agilis,Myotis californicus agilis
Vespertilio exilis,Myotis californicus exilis
Vespertilio mexicanus,Myotis californicus mexicanus
Vespertilio nitidus,Myotis californicus nitidus
Vespertilio oregonensis,Myotis californicus oregonensis
Vespertilio tenuidorsalis,Myotis californicus tenuidorsalis
Myotis blythii capaccinii,Myotis capaccinii
Brachyotus blasii,Myotis capaccinii blasii
Leuconoe capaccinii bureschi,Myotis capaccinii bureschi
Vespertilio dasypus,Myotis capaccinii dasypus
Vespertilio majori,Myotis capaccinii majori
Vespertilio megapodius,Myotis capaccinii megapodius
Vespertilio pellucens,Myotis capaccinii pellucens
Vespertilio chiloensis,Myotis chiloensis
Myotis chiloensis atacamensis,Myotis chiloensis arescens
Vespertilio gayi,Myotis chiloensis gayi
Myotis myotis chinensis,Myotis chinensis
Myotis luctuosus,Myotis chinensis luctuosus
Myotis leibii ciliolabrum,Myotis ciliolabrum
Vespertilio ciliolabrum,Myotis ciliolabrum
Vespertilio dasycneme,Myotis dasycneme
Vespertilio limnophilus,Myotis dasycneme limnophilus
Vespertilio daubentonii,Myotis daubentonii
Vespertilio aedilis,Myotis daubentonii aedilus
Myotis aedilus,Myotis daubentonii albus
Vespertilio daubentonii albus,Myotis daubentonii albus
Vepertilio capucinellus,Myotis daubentonii capucinellus
Vespertilio lanatus,Myotis daubentonii lanatus
Myotis petax loukashkini,Myotis daubentonii loukashkini
Vespertilio minutellus,Myotis daubentonii minutellus
Myotis nathalinae,Myotis daubentonii nathalinae
Myotis petax,Myotis daubentonii petax
Myotis abei petax,Myotis daubentonii petax
Vespertilio staufferi,Myotis daubentonii staufferi
Myotis ussuriensis,Myotis daubentonii ussuriensis
Vespertilio volgensis,Myotis daubentonii volgensis
Myotis mystacinus davidi,Myotis davidii
Myotis nigricans dominicensis,Myotis dominicensis
Vespertilio emarginatus,Myotis emarginatus
Vespertilio ciliatus var. budapestiensis,Myotis emarginatus budapestiensis
Vespertilio ciliatus,Myotis emarginatus ciliatus
Vespertilio desertorum,Myotis emarginatus desertorum
Myotis lanceus,Myotis emarginatus lanceus
Vespertilio neglectus,Myotis emarginatus neglectus
Vespertilio rufescens,Myotis emarginatus rufescens
Vespertilio evotis,Myotis evotis
Vespertilio chrysonotus,Myotis evotis chrysonotus
Myotis micronyx,Myotis evotis micronyx
Myotis macrodactylus fimbriatus,Myotis fimbriatus
Vespertilio formosa,Myotis formosus
Myotis andersoni,Myotis formosus andersoni
Myotis auratus,Myotis formosus auratus
Myotis bartelsi,Myotis formosus bartelsi
Myotis chofukusei,Myotis formosus chofukusei
Myotis flavus,Myotis formosus flavus
Kerivoula pallida,Myotis formosus pallida
Myotis rufoniger,Myotis formosus rufoniger
Myotis tsuensis,Myotis formosus tsuensis
Myotis rufoniger watasei,Myotis formosus watasei
Myotis weberi,Myotis formosus weberi
Myotis lucifugus fortidens,Myotis fortidens
Pipistrellus cinnamomeus,Myotis fortidens cinnamomeus
Myotis kaguyae,Myotis frater kaguyae
Myotis longicaudatus,Myotis frater longicaudatus
Vespertilio goudoti,Myotis goudoti goudoti
Vespertilio madagascariensis,Myotis goudoti madagascariensis
Vespertilio sylvicola,Myotis goudoti sylvicola
Myotis mystacinus hajastanicus,Myotis hajastanicus
Leuconoe hasselti,Myotis hasseltii
Myotis abboti,Myotis hasseltii abboti
Myotis adversus abboti,Myotis hasseltii abboti
Myotis adversus continentis,Myotis hasseltii continentis
Myotis horsfieldii macellus,Myotis hasseltii macellus
Myotis formosus hermani,Myotis hermani
Myotis deignani,Myotis horsfieldii deignani
Myotis dryas,Myotis horsfieldii dryas
Myotis jeannei,Myotis horsfieldii jeannei
Myotis lepidus,Myotis horsfieldii lepidus
Myotis peshwa,Myotis horsfieldii peshwa
Myotis adversus peshwa,Myotis horsfieldii peshwa
Myotis ikonnikovi hosonoi,Myotis hosonoi
Myotis ruber keaysi,Myotis keaysi
Myotis subulatus keenii,Myotis keenii
Vespertilio laniger,Myotis laniger
Myotis subulatus leibii,Myotis leibii
Myotis nitidus henshawii,Myotis leibii henshawii
Myotis orinomus,Myotis leibii orinomus
Vespertilio subulatus,Myotis leibii subulatus
Myotis subulatus,Myotis leibii subulatus
Myotis winnemana,Myotis leibii winnemana
Myotis ruber levis,Myotis levis
Myotis chiloensis alter,Myotis levis alter
Myotis dinellii,Myotis levis dinellii
Vespertilio nubilus,Myotis levis nubilus
Vespertilio polythrix,Myotis levis polythrix
Myotis capaccinii longipes,Myotis longipes
Vespertilio macropus,Myotis longipes macropus
Vespertilio megalopus,Myotis longipes megalopus
Myotis theobaldi,Myotis longipes theobaldi
Vespertilio affinis,Myotis lucifugus affinis
Myotis albicinctus,Myotis lucifugus albicinctus
Myotis yumanensis altipetens,Myotis lucifugus altipetens
Myotis baileyi,Myotis lucifugus baileyi
Myotis carissima,Myotis lucifugus carissima
Vespertilio carolii,Myotis lucifugus carolii
Vespertilio domesticus,Myotis lucifugus domesticus
Vespertilio gryphus,Myotis lucifugus gryphus
Vespertilio lanceolatus,Myotis lucifugus lanceolatus
Myotis pernox,Myotis lucifugus pernox
Vespertilio virginianus,Myotis lucifugus virginianus
Myotis capaccinii macrodactylus,Myotis macrodactylus
Myotis hirsutus,Myotis macrodactylus hirsutus
Myotis adversus macropus,Myotis macropus
Myotis saba,Myotis macrotarsus saba
Myotis leibii melanorhinus,Myotis melanorhinus
Myotis ciliolabrum melanorhinus,Myotis melanorhinus
Myotis evotis milleri,Myotis milleri
Myotis adversus moluccarum,Myotis moluccarum
Leuconoe moluccarum,Myotis moluccarum
Myotis adversus richardsi,Myotis moluccarum richardsi
Myotis adversus solomonis,Myotis moluccarum solomonis
Myotis mystacinus montivagus,Myotis montivagus
Myotis borneoensis,Myotis montivagus borneoensis
Myotis peytoni federatus,Myotis montivagus federatus
Myotis peytoni,Myotis montivagus peytoni
Pactia mori,Myotis mori
Myotis mystacinus muricola,Myotis muricola
Vespertilio blanfordi,Myotis muricola blanfordi
Myotis browni,Myotis muricola browni
Myotis mystacinus caliginosus,Myotis muricola caliginosus
Myotis caliginosus,Myotis muricola caliginosus
Myotis herrei,Myotis muricola herrei
Myotis latirostris,Myotis muricola latirostris
Vespertilio (Pternopterus) lobipes,Myotis muricola lobipes
Myotis mystacinus moupinensis,Myotis muricola moupinensis
Myotis niasensis,Myotis muricola niasensis
Myotis patriciae,Myotis muricola patriciae
Myotis myosotis,Myotis myotis
Vespertilio latipennis,Myotis myotis latipennis
Myotis myosotis,Myotis myotis myosotis
Myotis murinus var,Myotis myotis spelaeus
Vespertilio submurinus,Myotis myotis submurinus
Myotis murinus var. typus,Myotis myotis typus
Vespertilio collaris,Myotis mystacinus
Brachyotus mystacinus var aureus,Myotis mystacinus aureus
Vespertilio collaris,Myotis mystacinus collaris
Myotis coluotus,Myotis mystacinus coluotus
Vespertilio humeralis,Myotis mystacinus humeralis
Vespertilio mystacinus var. nigricans,Myotis mystacinus nigricans
Brachyotus mystacinus var. nigricans,Myotis mystacinus nigricans.
Brachyotus mystacinus var. rufofuscus,Myotis mystacinus rufofuscus
Myotis schinzii,Myotis mystacinus schinzii
Vespertilio mystacinus var. nigrofuscus,Myotis mystacinus schinzii
Vespertilio schrankii,Myotis mystacinus schrankii
Vespertilio nattereri,Myotis nattereri
Myotis Escalerai,Myotis nattereri escalerae
Isotus nattereri var. spelaeus,Myotis nattereri spelaeus
Myotis tschuliensis,Myotis nattereri tschuliensis
Isotus nattereri var. typus,Myotis nattereri typus
Myotis nespotus,Myotis nesopolus
Myotis larensis,Myotis nesopolus larensis
Vespertilio nigricans,Myotis nigricans
Myotis bondae,Myotis nigricans bondae
Myotis carteri,Myotis nigricans carteri
Myotis caucensis,Myotis nigricans caucensis
Myotis chiriquensis,Myotis nigricans chiriquensis
Vespertilio concinnus,Myotis nigricans concinnus
Myotis esmeraldae,Myotis nigricans esmeraldae
Vespertilio exiguus,Myotis nigricans exiguus
Myotis maripensis,Myotis nigricans maripensis
Vespertilio mundus,Myotis nigricans mundus
Vespertilio parvulus,Myotis nigricans nigricans
Myotis quixensis,Myotis nigricans osculatii
Myotis punensis,Myotis nigricans punensis
Phyllostomus quixensis,Myotis nigricans quixensis
Myotis mystacinus nipalensis,Myotis nipalensis
Vespertilio nepalensis,Myotis nipalensis
Myotis mystacinus kukunoriensis,Myotis nipalensis kukunoriensis
Myotis mystacinus meinertzhageni,Myotis nipalensis meinertzhageni
Myotis mystacinus przewalskii,Myotis nipalensis przewalskii
Myotis mystacinus sogdianus,Myotis nipalensis sogdianus
Myotis mystacinus transcaspicus,Myotis nipalensis transcaspicus
Myotis lucifugus occultus,Myotis occultus
Myotis thomasi,Myotis oxyotus thomasi
Myotis ikonnikovi ozensis,Myotis ozensis
Myotis velifer peninsularis,Myotis peninsularis
Myotis myotis punicus,Myotis punicus
Myotis pilosus,Myotis ricketti pilosus
Glischropus rosseti,Myotis rosseti
Vespertilio cinnamomeus,Myotis ruber cinnamomeus
Myotis formosus rufopictus,Myotis rufopictus
Myotis kretzoii,Myotis schaubi
Myotis nattereri araxenus,Myotis schaubi araxenus
Myotis keenii septentrionalis,Myotis septentrionalis
Vespertilio siligorensis,Myotis siligorensis
Myotis alticraniatus,Myotis siligorensis alticraniatus
Vespertilio darjilingensis,Myotis siligorensis darjilingensis
Myotis sowerbyi,Myotis siligorensis sowerbyi
Myotis guaycuru,Myotis simus guaycuru
Myotis adversus taiwanensis,Myotis taiwanensis
Vespertilio albescens evotis,Myotis thysanodes
Vespertilio tricolor,Myotis tricolor
Myotis loveni,Myotis tricolor loveni
Vespertilio albescens,Myotis velifer
Vespertilio incautus,Myotis velifer incautus
Myotis californicus jaliscensis,Myotis velifer jaliscensis
Pizonyx vivesi,Myotis vivesi
Myotis altifrons,Myotis volans altifrons
Myotis longicrus amotus,Myotis volans amotus
Myotis capitaneus,Myotis volans capitaneus
Myotis longicrus interior,Myotis volans interior
Vespertilio longicrus,Myotis volans longicrus
Myotis longicrus longicrus,Myotis volans longicrus
Myotis ruddi,Myotis volans ruddi
Scotophilus welwitschii,Myotis welwitschii
Vespertilio venustus,Myotis welwitschii venustus
Myotis ikonnikovi yesoensis,Myotis yesoensis
Vespertilio yumanensis,Myotis yumanensis
Myotis californicus durangae,Myotis yumanensis durangae
Vespertilio macropus,Myotis yumanensis macropus
Vespertilio obscurus,Myotis yumanensis obscurus
Myotis lucifugus phasma,Myotis yumanensis phasma
Myrmecobius rufus,Myrmecobius fasciatus rufus
Myrmecophaga jubata,Myrmecophaga tridactyla
Myrmecophaga centralis,Myrmecophaga tridactyla centralis
Capromys garridoi,Mysateles garridoi
Mysateles prehensilis gundlachi,Mysateles gundlachi
Capromys gundlachi,Mysateles gundlachi
Mysateles prehensilis jaumei,Mysateles jaumei
Capromys melanurus,Mysateles melanurus
Capromys arboricolus,Mysateles melanurus arboricolus
Capromys pallidus,Mysateles melanurus pallidus
Capromys melanurus rufescens,Mysateles melanurus rufescens
Capromys prehensilis,Mysateles prehensilis
Mysateles poeyi,Mysateles prehensilis poeyi
Capromys poeyi,Mysateles prehensilis poeyi
Capromys prehensilis prehensilis,Mysateles prehensilis prehensilis
Mystacina tuberculata robusta,Mystacina robusta
Mystacina velutina,Mystacina tuberculata
Mystacina velutina,Mystacina tuberculata velutina
Otomys albicaudatus,Mystromys albicaudatus
Mystromys albipes,Mystromys albicaudatus albipes
Mystromys lanuginose,Mystromys albicaudatus lanuginosus
Nemorhaedus cranbrooki,Naemorhedus baileyi
Naemorhedus cranbrooki,Naemorhedus baileyi cranbrooki
Nemorhaedus goral caudatus,Naemorhedus caudatus
Antilope caudata,Naemorhedus caudatus
Antilope (Caprina) crispa,Naemorhedus caudatus crispa
Kemas fargesianus,Naemorhedus caudatus fargesianus
Kemas niger,Naemorhedus caudatus niger
Naemorhedus goral raddeanus,Naemorhedus caudatus raddeanus
Naemorhedus duvaucelii,Naemorhedus goral
Urotragus goral,Naemorhedus goral
Naemorhedus caudatus aldridgeanus,Naemorhedus goral aldridgeanus
Naemorhedus goral arnousianus,Naemorhedus goral arnouxianus
Kemas arnouxianus,Naemorhedus goral arnouxianus
Naemorhedus bedfordi,Naemorhedus goral bedfordi
Naemorhedus caudatus fantozatianus,Naemorhedus goral fantozatianus
Naemorhedus caudatus henryanus,Naemorhedus goral henryanus
Naemorhedus hodgsoni,Naemorhedus goral hodgsoni
Naemorhedus goral griseus,Naemorhedus griseus
Naemorhedus caudatus cinerea,Naemorhedus griseus cinerea
Naemorhedus caudatus curvicornis,Naemorhedus griseus curvicornis
Urotragus evansi,Naemorhedus griseus evansi
Naemorhedus goral galeanus,Naemorhedus griseus galeanus
Urotragus galeanus,Naemorhedus griseus galeanus
Naemorhedus caudatus initialis,Naemorhedus griseus initialis
Naemorhedus caudatus iodinus,Naemorhedus griseus iodinus
Naemorhedus caudatus pinchonianus,Naemorhedus griseus pinchonianus
Naemorhedus caudatus versicolor,Naemorhedus griseus versicolor
Naemorhedus caudatus xanthodeiros,Naemorhedus griseus xanthodeiros
Viverra binotata,Nandinia binotata
Nandinia gerrardi,Nandinia binotata gerrardi
Paradoxurus hamiltonii,Nandinia binotata hamiltonii
Antilope addra,Nanger dama
Gazella dama,Nanger dama
Gazella dama dama,Nanger dama dama
Gazella dama damergouensis,Nanger dama damergouensis
Gazella dama lozanoi,Nanger dama lozanoi
Antilope mhoks,Nanger dama mhoks
Gazella dama mhorr,Nanger dama mhorr
Antilope dama var. occidentalis,Nanger dama occidentalis
Antilope dama var. orientalis,Nanger dama orientalis
Gazella dama permista,Nanger dama permista
Gazella mhorr reducta,Nanger dama reducta
Gazella dama reducta,Nanger dama reducta
Gazella ruficollis,Nanger dama ruficollis
Gazella dama ruficollis,Nanger dama ruficollis
Gazella dama weidholzi,Nanger dama weidholzi
Gazella granti,Nanger granti
Nanger granti brighti,Nanger granti brighti
Gazella granti var. gelidjiensis,Nanger granti gelidjiensis
Gazella granti granti,Nanger granti granti
Gazella granti notata,Nanger granti lacuum
Gazella granti notata,Nanger granti notata
Gazella granti petersii,Nanger granti petersii
Gazella granti raineyi,Nanger granti raineyi
Gazella granti robertsi,Nanger granti robertsi
Gazella granti roosevelti,Nanger granti roosevelti
Gazella granti serengetae,Nanger granti serengetae
Antilope soeminerringi,Nanger soemmerringii
Gazella soemmeringi berberani,Nanger soemmerringii berberana
Gazella soemmerringii butteri,Nanger soemmerringii butteri
