unaccepted_synonym,accepted_synonym
Mus granti,Aethomys granti
Aethomys chrysophilus hindei,Aethomys hindei
Aethomys alghazal,Aethomys hindei alghazal
Mus alghazal,Aethomys hindei alghazal
Aethomys centralis,Aethomys hindei centralis
Aethomys helleri,Aethomys hindei helleri
Rattus helleri,Aethomys hindei helleri
Aethomys kaiseri hindei,Aethomys hindei hindei
Aethomys medicatus,Aethomys hindei medicatus
Mus medicatus,Aethomys hindei medicatus
Aethomys norae,Aethomys hindei norae
Aethomys chrysophilus ineptus,Aethomys ineptus
Aethomys hindei kaiseri,Aethomys kaiseri
Aethomys walambae amalae,Aethomys kaiseri amalae
Aethomys walambae hintoni,Aethomys kaiseri hintoni
Aethomys walambae pedester,Aethomys kaiseri pedester
Aethomys vernayi,Aethomys kaiseri vernayi
Aethomys nyikae walambae,Aethomys kaiseri walambae
Aethomys walambae walambae,Aethomys kaiseri walambae
Praomys namaquensis,Aethomys namaquensis
Otoniys namaquensis,Aethomys namaquensis
Aethomys namaquensis arborarius,Aethomys namaquensis alborarius
Micaelamys namaquensis alborarius,Aethomys namaquensis alborarius
Mus auricomis,Aethomys namaquensis auricomis
Mus avarillus,Aethomys namaquensis avarillus
Aethomys chrysophilus avarillus,Aethomys namaquensis avarillus
Aethomys avunculus,Aethomys namaquensis avunculus
Mus avunculus,Aethomys namaquensis avunculus
Mus auricomis centralis,Aethomys namaquensis centralis
Mus namaquensis grahami,Aethomys namaquensis grahami
Praomys namaquensis klaverensis,Aethomys namaquensis klaverensis
Praomys namaquensis lehochloides,Aethomys namaquensis lehochloides
Mus lehocla,Aethomys namaquensis lehocla
Micaelamys namaquensis lehocla,Aethomys namaquensis lehocla
Rattus namaquensis longicaudatus,Aethomys namaquensis longicaudatus
Rattus namaquensis monticularis,Aethomys namaquensis monticularis
Gerbillus namaquensis,Aethomys namaquensis namaquensis
Aethomys avunculus phippsi,Aethomys namaquensis phippsi
Aethomys chrysophilus dollmani,Aethomys nyikae dollmani
Aethomys selindensis,Aethomys silindensis
Aethomys kaiseri thomasi,Aethomys thomasi
Ailuropoda baconi,Ailuropoda melanoleuca baconi
Ailurops ursinus melanotis,Ailurops melanotis
Phalanger ursinus,Ailurops ursinus
Phalanger ursinus flavissimus,Ailurops ursinus flavissimus
Phalanger furvus,Ailurops ursinus furvus
Phalanger furvus intermedius,Ailurops ursinus intermedius
Phalanger ursinus togianus,Ailurops ursinus togianus
Ailurus ochraceus,Ailurus fulgens ochraceus
Ailurus styani,Ailurus fulgens styani
Ailurus fulgens refulgens,Ailurus fulgens styani
Akodon urichi aerosus,Akodon aerosus
Akodon baliolus,Akodon aerosus baliolus
Microxus affinis,Akodon affinis
Akodon tolimae,Akodon affinis tolimae
Bolomys albiventer,Akodon albiventer
Akodon berlepschii,Akodon albiventer berlepschii
Akodon boliviensis aliquantulus,Akodon aliquantulus
Akodon arenicola,Akodon azarae arenicola
Akodon arenicola hunteri,Akodon azarae hunteri
Microxus bogotensis,Akodon bogotensis
Akodon pacificus,Akodon boliviensis pacificus
Hypsimys budini,Akodon budini
Akodon deceptor,Akodon budini deceptor
Bolomys arviculoides cursor,Akodon cursor
Habrothrix cursor,Akodon cursor
Akodon varius dayi,Akodon dayi
Akodon varius dolores,Akodon dolores
Akodon mollis fumeus,Akodon fumeus
Akodon nucus,Akodon iniscatus nucus
Akodon fumeus kofordi,Akodon kofordi
Microxus latebricola,Akodon latebricola
Bolomys lactens leucolimnaeus,Akodon leucolimnaeus
Akodon lutescens puer,Akodon lutescens
Akodon puer caenosus,Akodon lutescens caenosus
Akodon puer puer,Akodon lutescens lutescens
Akodon puer,Akodon lutescens puer
Microxus mimus,Akodon mimus
Akodon varius molinae,Akodon molinae
Akodon altorum,Akodon mollis altorum
Akodon cursor montensis,Akodon montensis
Necromys montensis ?,Akodon montensis
Akodon serrensis mystax,Akodon mystax
Akodon varius neocenus,Akodon neocenus
Thaptomys nigrita,Akodon nigrita
Thaptomys #1,Akodon nigrita #1
Akodon caniventris,Akodon nigrita caniventris
Akodon fuliginosus,Akodon nigrita fuliginosus
Hesperomys subterraneus henseli,Akodon nigrita henseli
Thaptomys nigrita nigrita,Akodon nigrita nigrita
Akodon orycter,Akodon nigrita orycter
Thaptomys nigrita subterraneus,Akodon nigrita subterraneus
Akodon subterraneus,Akodon nigrita subterraneus
Akodon varius oenos,Akodon oenos
Akodon mollis orophilus,Akodon orophilus
