taxon_id, spp_id, source_id, scientific_name, common_name, order_name, family_name
bird,melduc1,ebird,Anas melleri,Meller's Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,mallar,ebird,Anas platyrhynchos,Mallard,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,motduc,ebird,Anas fulvigula,Mottled Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,hawduc,ebird,Anas wyvilliana,Hawaiian Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,layduc,ebird,Anas laysanensis,Laysan Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,isbduc1,ebird,Anas poecilorhyncha,Indian Spot-billed Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,spbduc,ebird,Anas zonorhyncha,Eastern Spot-billed Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,pabduc1,ebird,Anas superciliosa,Pacific Black Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,phiduc1,ebird,Anas luzonica,Philippine Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,buwtea,ebird,Anas discors,Blue-winged Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,cintea,ebird,Anas cyanoptera,Cinnamon Teal,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,redsho1,ebird,Anas platalea,Red Shoveler,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,capsho1,ebird,Anas smithii,Cape Shoveler,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,aussho1,ebird,Anas rhynchotis,Australian Shoveler,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,norsho,ebird,Anas clypeata,Northern Shoveler,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,whcpin,ebird,Anas bahamensis,White-cheeked Pintail,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,rebduc1,ebird,Anas erythrorhyncha,Red-billed Duck,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,norpin,ebird,Anas acuta,Northern Pintail,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,eatpin1,ebird,Anas eatoni,Eaton's Pintail,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
bird,yebpin1,ebird,Anas georgica,Yellow-billed Pintail,Anseriformes,Anatidae (Ducks, Geese, and Waterfowl)
