site,genus,sp,subsp,common_name,source
JERC,Crotalis,adamanteus,,Eastern diamondback rattlesnake,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Crotalis,horridus,,timber rattlesnake,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Eurycea,cirrigera,,two-lined salamander,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Gopherus,polyphemus,,gopher tortoise,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Graptemys,geographica,,,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Graptemys,barbouri,,Barbour's map turtle,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Hemidactylus,turcicus,,Mediterranean house gecko,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Heterodon,platyrhinos,,Eastern hognose snake,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Hyla,squirella,,squirrel tree frog,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Hyla,chrysoscelis,,Cope's gray tree frog,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Kinosternon,subrubrum,,,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Lampropeltis,getula,getula,Eastern kingsnake,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Malaclemys,terrapin,centrata,Carolina diamondbacked terrapin,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Masticophis,flagellum,flagellum,Eastern coachwhip,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Nerodia,taxispilota,,Brown watersnake,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Notophthalmus,viridescens,,,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Pseudemys,concinna,,Eastern river cooter,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Pseudotrition,ruber,,red salamander,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Regina,rigida,,glossy crayfish snake,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Storeria,occipitomaculata,,red-bellied snake,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Tantilla,relicta,,Central Florida crowned snake,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Trachemys,scripta,,,http://www.mendeley.com/c/4971280602/g/2058663/jerc-2012-jercpublications2003present/
JERC,Deirochelys,reticularia,,Chicken turtle,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Macrochelys,temminckii,,alligator snaping turtle,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Pseudemys,floridana,,Florida cooter,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Sternotherus,odoratus,,Stinkpot,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Sternotherus,minor,,loggerhead musk turtle,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Terrapene,carolina,,Eastern box turtle,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Anolis,carolinensis,,Green anole,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Aspidocelis,sexlineatus,,Six-lined racerunner,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Eumeces,egregius,,mole skink,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Eumeces,fasciatus,,common five-lined skink,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Eumeces,inexpectatus,,Southeastern five-lined skinks,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Eumeces,laticeps,,Broad-headed skink.,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Ophisaurus,attenuatus,,slender glass lizard,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Ophisaurus,ventralis,,Eastern glass lizard,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Sceloporus,undulatus,,Eastern fence lizard,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Scincella,lateralis,,Ground skink,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Agkistrodon,contortrix,,Copperhead,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Agkistrodon,piscivorus,,Cottonmouth,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Cemophora,coccinea,,scarlet snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Coluber,constrictor,,black racer,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Crotalus,adamanteus,,Eastern diamondback rattlesnake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Crotalus,horridus,,timber rattlesnake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Diadophis,punctatus,,ring-necked snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Drymarchon,couperi,,eastern indigo snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Elaphe,guttata,,Corn snake or red ratsnake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Elaphe,obsoleta,,gray rat snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Farancia,abacura,,red-bellied mud snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Farancia,erytrogramma,,rainbow snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Heterodon,platirhinos,,Eastern hognose snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Heterodon,simus,,Souther hognose snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Lampropeltis,getula,,Eastern king snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Lampropeltis,triangulum,,scarlet king snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Masticophis,flagellum,,coachwhip,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Nerodia,erythrogaster,,plain-bellied water snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Nerodia,fasciata,,southern water snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Nerodia,taxispilota,,Brown watersnake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Opheodrys,aestivus,,Rough green snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Pituophis,melanoleucus,,pine snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Sistrurus,miliarius,,pygmy rattlesnake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Storeria,dekayi,,Dekay's brown snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Storeria,occipitomaculata,,red-bellied snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Thamnophis,sauritus,,Eastern ribbon snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Thamnophis,sirtalis,,common garter snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Virginia,valeriae,,smooth earth snake,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Ambystoma,cingulatum,,flatwoods salamander,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Ambystoma,opacum,,marbled salamander,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Ambystoma,talpoideum,,mole salamander,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Ambystoma,tigrinum,,tiger salamander,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Amphiuma,means,,two-toed amphiuma,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Eurycea,cirrigera,,Southern two-lines salamander,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Eurycea,guttolineata,,three-lined salamander,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Eurycea,quadridigitata,,dwarf salamander,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Notophthalmus,perstriatus,,striped newt,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Notophthalmus,viridescens,,Eastern newt,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Plethodon,grobmani,,Southeast slimy salamander,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
JERC,Pseudobranchus,striatus,,Northern dwarf siren,http://www.mendeley.com/c/4974603702/g/2058663/smith-2006-the-vertebrate-fauna-of-ichauway-baker-county-ga/
