genus,sp,subsp,common name,common name,state,status,notes
Epioblasma,obliquata,obliquata,cat's paw (=purple cat's paw pearlymussel),purple,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Epioblasma,florentina,walkeri,tan,Riffleshell,Alabama,Endangered,
Obovaria,retusa,,pink (mussel),Ring,Alabama,Endangered,
Athearnia,anthonyi,,Anthony's,Riversnail,Alabama,Endangered,Entire Range; Except where listed as Experimental Populations 
Leptoxis,foremani,,interrupted (=Georgia),Rocksnail,Alabama,Endangered,
Leptoxis,taeniata,,painted,Rocksnail,Alabama,Threatened,
Leptoxis,plicata,,plicate,Rocksnail,Alabama,Endangered,
Leptoxis,ampla,,round,Rocksnail,Alabama,Threatened,
Ambystoma,cingulatum,,frosted flatwoods,Salamander,Alabama,Threatened,
Phaeognathus,hubrichti,,Red Hills,Salamander,Alabama,Threatened,
Cottus,paulus,,pygmy,Sculpin,Alabama,Threatened,
Chelonia,mydas,,green,Sea turtle,Alabama,Threatened,except where endangered
Eretmochelys,imbricata,,hawksbill,Sea turtle,Alabama,Endangered,
Lepidochelys,kempii,,Kemp's ridley,Sea turtle,Alabama,Endangered,
Dermochelys,coriacea,,leatherback,Sea turtle,Alabama,Endangered,
Caretta,caretta,,loggerhead,Sea turtle,Alabama,Threatened,
Cyprinella,caerulea,,blue,Shiner,Alabama,Threatened,
Notropis,cahabae,,Cahaba,Shiner,Alabama,Endangered,
Notropis,albizonatus,,palezone,Shiner,Alabama,Endangered,
Palaemonias,alabamae,,Alabama cave,Shrimp,Alabama,Endangered,
Elliptio,chipolaensis,,Chipola,Slabshell,Alabama,Threatened,
Pyrgulopsis,pachyta,,armored,Snail,Alabama,Endangered,
Tulotoma,magnifica,,tulotoma,Snail,Alabama,Threatened,
Drymarchon,corais,couperi,eastern indigo,Snake,Alabama,Threatened,
Cumberlandia,monodonta,,,Spectaclecase (mussel),Alabama,Endangered,
Quadrula,stapes,,,Stirrupshell,Alabama,Endangered,
Mycteria,americana,,wood,Stork,Alabama,Endangered,
Scaphirhynchus,suttkusi,,Alabama,Sturgeon,Alabama,Endangered,
Acipenser,oxyrinchus,desotoi,gulf,Sturgeon,Alabama,Threatened,
Gopherus,polyphemus,,gopher,Tortoise,Alabama,Threatened,W of of Mobile/Tombigbee Rs. 
Pseudemys,alabamensis,,Alabama red-belly,Turtle,Alabama,Endangered,
Sternotherus,depressus,,flattened musk,Turtle,Alabama,Threatened,species range clarified 
Vermivora,bachmanii,,Bachman's,Warbler (=wood),Alabama,Endangered,
Plethobasus,cicatricosus,,white (pearlymussel),Wartyback,Alabama,Endangered,
Balaenoptera,physalus,,finback,Whale,Alabama,Endangered,
Megaptera,novaeangliae,,humpback,whale,Alabama,Endangered,
Canis,lupus,,gray,Wolf,Alabama,Endangered, U.S.A.: All of AL AR CA CO CT DE FL GA KS KY LA MA MD ME MO MS NC NE NH NJ NV NY OK PA RI SC TN VA VT WV those portions of AZ NM and TX not included in an experimental population; and portions of IA IN IL ND OH OR SD UT and WA. Mexico 
Picoides,borealis,,red-cockaded,Woodpecker,Alabama,Endangered,
Amphianthus,pusillus,,little,Amphianthus,Alabama,Threatened,
Lesquerella,lyrata,,lyrate,Bladderpod,Alabama,Threatened,
Marshallia,mohrii,,Mohr's Barbara,Button,Alabama,Threatened,
Schwalbea,americana,,American,Chaffseed,Alabama,Endangered,
Thelypteris,pilosa,alabamensis,Alabama streak-sorus,Fern,Alabama,Threatened,
Asplenium,scolopendrium,americanum,American hart's-tongue,Fern,Alabama,Threatened,
Xyris,tennesseensis,,Tennessee yellow-eyed,Grass,Alabama,Endangered,
nodosum,,,Ptilimnium,Harperella,Alabama,Endangered,
Clematis,socialis,,Alabama,Leather flower,Alabama,Endangered,
Clematis,morefieldii,,Morefield's,Leather flower,Alabama,Endangered,
Spigelia,gentianoides,,gentian,Pinkroot,Alabama,Endangered,
Sarracenia,rubra,alabamensis,Alabama canebrake,Pitcher-plant,Alabama,Endangered,
Sarracenia,oreophila,,green,Pitcher-plant,Alabama,Endangered,
melissifolia,,,Lindera,Pondberry,Alabama,Endangered,
Apios,priceana,,Price's,Potato-bean,Alabama,Threatened,
Dalea,foliosa,,leafy,Prairie-clover,Alabama,Endangered,
Trillium,reliquum,,relict,Trillium,Alabama,Endangered,
Sagittaria,secundifolia,,Kral's,Water-plantain,Alabama,Threatened,
Phoebastria,albatrus,,Albatross, short-tailed,Alaska,Endangered,
Ursus,maritimus,,Bear, polar,Alaska,Threatened,
Rangifer,tarandus,caribou,Caribou,woodland,Alaska,Endangered,Selkirk Mountain population
Numenius,borealis,,Curlew,Eskimo,Alaska,Endangered,
Somateria,fischeri,,Eider,spectacled,Alaska,Threatened,
Polysticta,stelleri,,Eider,Steller's,Alaska,Threatened,AK breeding pop. 
Lynx,canadensis,,Lynx,Canada,Alaska,Threatened,Contiguous U.S. DPS)
Brachyramphus,marmoratus,,Murrelet,marbled,Alaska,Threatened,CA OR WA
Enhydra,lutris,kenyoni,Otter,Northern Sea,Alaska,Threatened,southwest Alaska DPS
Oncorhynchus,kisutch,,Salmon,coho,Alaska,Endangered,Central California Coast ESU
Eumetopias,jubatus,,Sea-lion,Steller,Alaska,Threatened,eastern pop.
Eumetopias,jubatus,,Sea-lion,Steller,Alaska,Endangered,western pop.
Dermochelys,coriacea,,Sea turtle,leatherback,Alaska,Endangered,
Acipenser,transmontanus,,Sturgeon, white,Alaska,Endangered, MT) Canada (B.C.) Kootenai R. system
Salvelinus,confluentus,,Trout, bull,Alaska,Threatened,conterminous lower 48 states ()
Balaena,mysticetus,,Whale,bowhead,Alaska,Endangered,
Balaenoptera,physalus,,Whale,finback,Alaska,Endangered,
Megaptera,novaeangliae,,Whale,humpback,Alaska,Endangered,
Polystichum,aleuticum,,Fern,Aleutian shield,Alaska,Endangered,
Oxyloma,haydeni,kanabensis,Kanab,Ambersnail,Arizona,Endangered,
Leptonycteris,curasoae,yerbabuenae,lesser long-nosed,Bat,Arizona,Endangered,
Ursus,arctos,horribilis,grizzly,Bear,Arizona,Threatened,lower 48 States except where listed as an experimental population or delisted
Colinus,virginianus,ridgwayi,masked (quail),Bobwhite,Arizona,Endangered,
Polyborus,plancus,audubonii,Audubon's crested,Caracara,Arizona,Threatened,FL pop.
