site,genus,sp,subsp,common_name,source
BONA; POKE,Pristiphora,erichsonii,,Larch Sawfly,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Camponotus,herculeanus,,Carpenter Ant,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Megastigmus,piceae,,Spruce Seed Chalcid,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Urocerus,sp,,Sawfly,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Sorex,arcticus,,Arctic Shrew,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Sorex,cinereus,,Masked Shrew,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Sorex,hoyi,,Pygmy Shrew,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Sorex,obscurus,,Dusky Shrew,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Lepus,americanus,,Snowshoe Hare,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Argyresthia,pygmaeella,,Leafminer,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Coleophora,laricella,,Larch Casebearer,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Coleophora,serratella,,Birch Casebearer,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Anacampsis,fragariella,,Strawbery Crown Miner,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Hydriomena,furcata,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Hydriomena,nubilofasciata,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Rheumaptera,hastata,,Spear-marked Black Moth,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Micrurapterx,salicifoliella,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Phyllocnistis,sp,,Leafminer,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Phyllonorycter,ontario,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Orgyia,antigua,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Lyonetia,sp,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Orthosia,hibisci,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Nymphalis,antiopa,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Depressariodes,ciniflonella,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Acleris,calgnosana,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Archips,sp,,Leaf Roller,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Choristoneura,conflictana,,Large Aspen Tortrix,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Compsclechia,sp,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Compsolechia,sp,,Budworm,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
BONA; POKE,Epinotia,solandriana,,,http://www.mendeley.com/c/5448902984/g/2058663/bonanza-creek-lter-species-lists/
